Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker
ATP Australian Open,"Jan 15, 2025, 08:22 PM",Gabriel Diallo,Karen Khachanov,37.0,1.012,FanDuel
ATP Australian Open,"Jan 15, 2025, 08:52 PM",Denis Shapovalov,Lorenzo Musetti,34.0,1.01,BetMGM
ATP Australian Open,"Jan 15, 2025, 09:25 PM",Ben Shelton,Pablo Carreno Busta,1.167,5.1,FanDuel
NCAAB,"Jan 15, 2025, 09:35 PM",Washington Huskies,Purdue Boilermakers,10.0,1.02,MyBookie.ag
ATP Australian Open,"Jan 15, 2025, 09:39 PM",Tristan Boyer,Alex de Minaur,56.0,1.0,Caesars
NBA,"Jan 15, 2025, 09:44 PM",Minnesota Timberwolves,Golden State Warriors,2.9,1.4,FanDuel
ATP Australian Open,"Jan 15, 2025, 10:00 PM",Corentin Moutet,Mitchell Krueger,1.667,2.2,FanDuel
NBA,"Jan 15, 2025, 10:10 PM",Los Angeles Lakers,Miami Heat,2.02,1.769,FanDuel
NCAAB,"Jan 15, 2025, 10:10 PM",Oklahoma Sooners,Texas Longhorns,12.0,1.025,FanDuel
ATP Australian Open,"Jan 15, 2025, 10:15 PM",Taylor Fritz,Cristian Garin,1.01,34.0,BetMGM
NBA,"Jan 15, 2025, 10:40 PM",Los Angeles Clippers,Brooklyn Nets,1.007,26.0,Caesars
ATP Australian Open,"Jan 15, 2025, 11:00 PM",Marcos Giron,Tomas Martin Etcheverry,1.952,1.87,FanDuel
NCAAB,"Jan 15, 2025, 11:05 PM",UNLV Rebels,Utah State Aggies,2.96,1.385,FanDuel
WTA Australian Open,"Jan 15, 2025, 11:11 PM",Eva Lys,Varvara Gracheva,1.167,5.3,FanDuel
WTA Australian Open,"Jan 15, 2025, 11:30 PM",Beatriz Haddad Maia,Erika Andreeva,1.19,4.8,DraftKings
WTA Australian Open,"Jan 15, 2025, 11:45 PM",Jaqueline Cristian,Lucia Bronzetti,2.3,1.649,FanDuel
ATP Australian Open,"Jan 15, 2025, 11:50 PM",Alex Michelsen,James McCabe,1.105,6.9,FanDuel
