Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Home Team Odds,Away Team Odds,Bookmaker,Match Result
ATP Australian Open,2025-01-16 00:00:00,Alex Michelsen,James McCabe,,,Scheduled,61dd50055280e6abcf707e599374e319,1.167,5.2,FanDuel,Not Completed
ATP Australian Open,2025-01-16 00:22:00,Fabian Marozsan,Frances Tiafoe,,,Scheduled,e740b781da8014134d1a01fef09971b5,2.58,1.515,FanDuel,Not Completed
ATP Australian Open,2025-01-16 00:50:00,Joao Fonseca,Lorenzo Sonego,,,Scheduled,8dab6614a8fbe00541e3a3ed40c60262,1.211,4.5,DraftKings,Not Completed
ATP Australian Open,2025-01-16 01:30:00,Matteo Berrettini,Holger Rune,,,Scheduled,48179a14c2796a744c5d7b2078d4724e,1.704,2.18,FanDuel,Not Completed
ATP Australian Open,2025-01-16 03:00:00,Jannik Sinner,Tristan Schoolkate,,,Scheduled,a080258188bff35b2f1bdcf971cf8a47,1.01,23.0,FanDuel,Not Completed
ATP Australian Open,2025-01-16 05:00:00,Learner Tien,Daniil Medvedev,,,Scheduled,cf5ba7f430931f8549d614bde15cebfb,5.75,1.143,DraftKings,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Jakub Mensik,Alejandro Davidovich Fokina,,,Scheduled,2944d0372cc1da954b57c62f3db91b67,1.465,2.6,DraftKings,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Jack Draper,Aleksandar Vukic,,,Scheduled,cd5eaec72786670f682cb679854a85ef,1.215,4.65,FanDuel,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Jacob Fearnley,Alexander Zverev,,,Scheduled,a29fb0c26f0f3d07998bbe53c928f20c,8.4,1.08,FanDuel,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Ugo Humbert,Arthur Fils,,,Scheduled,7c646bef14acd39aa6bf74991b9ca8f3,1.685,2.22,FanDuel,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Jiri Lehecka,Benjamin Bonzi,,,Scheduled,e60e5a495aec582791757c02ea95492e,1.303,3.5,DraftKings,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Nuno Borges,Carlos Alcaraz,,,Scheduled,3c516a8e12ddfe696765386b3d1ca74a,17.0,1.033,DraftKings,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Novak Djokovic,Tomas Machac,,,Scheduled,ef9cd7e0449878f65ce688b25adafe87,1.235,4.1,DraftKings,Not Completed
ATP Australian Open,2025-01-16 19:00:00,Roberto Carballes Baena,Tommy Paul,,,Scheduled,8742bd93ca5a0484bba57e2075bbb336,6.8,1.111,FanDuel,Not Completed
WTA Australian Open,2025-01-16 01:00:00,Elina Svitolina,Caroline Dolehide,,,Scheduled,31480f8e637cfa5add32a7c6baa82603,1.238,4.2,FanDuel,Not Completed
WTA Australian Open,2025-01-16 02:00:00,Veronika Kudermetova,Katie Boulter,,,Scheduled,a6cdf12e4000d40cdee0516ff4759876,2.1,1.667,DraftKings,Not Completed
WTA Australian Open,2025-01-16 02:30:00,Destanee Aiava,Danielle Collins,,,Scheduled,c22c3981a60f98d24a1fc54f80500e20,3.35,1.351,FanDuel,Not Completed
WTA Australian Open,2025-01-16 03:00:00,Madison Keys,Elena Gabriela Ruse,,,Scheduled,226cf2b25042a38f18198bf430d747ee,1.111,7.0,DraftKings,Not Completed
WTA Australian Open,2025-01-16 04:40:00,Renata Zarazua,Jasmine Paolini,,,Scheduled,a803301c09187a8a3a602bd7d95e35ab,5.25,1.167,DraftKings,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Anastasia Pavlyuchenkova,Laura Siegemund,,,Scheduled,acca1f1ac8c437e36b9a1ddd80566436,1.588,2.4,Bovada,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Aryna Sabalenka,Clara Tauson,,,Scheduled,72e7a39049504824e8ac9b58518588ef,1.1,7.5,BetRivers,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Naomi Osaka,Belinda Bencic,,,Scheduled,a69fc75dc446bea403e1515c7c9a7219,1.667,2.2,BetRivers,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Coco Gauff,Leylah Fernandez,,,Scheduled,803e087c156478e424e3248e5c8e662c,1.16,5.6,BetRivers,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Diana Shnaider,Donna Vekic,,,Scheduled,6e7ba31b708c420feb8b0a9256053ad4,1.599,2.33,BetRivers,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Emma Raducanu,Iga Swiatek,,,Scheduled,c369696391367110912b171bd7cf072d,6.5,1.12,BetRivers,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Olga Danilovic,Jessica Pegula,,,Scheduled,bf5dfc1bf79abaa2a2fcb53063f31e3a,4.9,1.189,BetRivers,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Magdalena Frech,Mirra Andreeva,,,Scheduled,0af99084131e0448c46c71e19b9bf979,4.3,1.211,DraftKings,Not Completed
WTA Australian Open,2025-01-16 19:00:00,Paula Badosa,Marta Kostyuk,,,Scheduled,d4f5a55b0fc22b2b54c5e4719f9cb85c,1.488,2.63,BetRivers,Not Completed
NBL,2025-01-16 01:30:00,New Zealand Breakers,Tasmania JackJumpers,,,Scheduled,dce44322782ce929563e9e0e91eff35a,1.775,2.04,BetRivers,Not Completed
Big Bash,2025-01-16 03:30:00,Brisbane Heat,Hobart Hurricanes,,,Scheduled,abbf3d1ced13b6e94db5f130e76f1a59,1.714,2.15,Bovada,Not Completed
NCAAB,2025-01-16 11:00:00,NJIT Highlanders,Maine Black Bears,,,Scheduled,a30260483b4d223f3dbb0a670ddd3db2,4.4,1.222,FanDuel,Not Completed
NCAAB,2025-01-16 18:00:00,UMBC Retrievers,New Hampshire Wildcats,,,Scheduled,f794a776ca2bbcf98572fc77d949b457,1.069,9.1,FanDuel,Not Completed
NCAAB,2025-01-16 18:30:00,Albany Great Danes,Bryant Bulldogs,,,Scheduled,7cc5f82834b7837f0d5a623af73ecd12,2.15,1.725,FanDuel,Not Completed
NCAAB,2025-01-16 18:30:00,Bellarmine Knights,Lipscomb Bisons,,,Scheduled,d2b17d460be05fddea8695e1ba6e38bc,10.0,1.062,DraftKings,Not Completed
NCAAB,2025-01-16 18:30:00,Delaware Blue Hens,Stony Brook Seawolves,,,Scheduled,037a1c1559972d1184956f92694bb053,1.213,4.6,DraftKings,Not Completed
NCAAB,2025-01-16 18:30:00,Florida Gulf Coast Eagles,West Georgia Wolves,,,Scheduled,f03440389b696050ec8569f137906d7c,1.105,7.25,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Old Dominion Monarchs,Appalachian St Mountaineers,,,Scheduled,4752a5de268fb7e9e4f73224b9d74b48,2.36,1.617,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Vermont Catamounts,Binghamton Bearcats,,,Scheduled,e8268b56553bcfe0839671ad8728a571,1.2,4.8,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Campbell Fighting Camels,Charleston Cougars,,,Scheduled,e558f5ee3702085ae92a6ff8262c7a14,2.9,1.426,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Iona Gaels,Canisius Golden Griffins,,,Scheduled,177a97b6adf7a81208c4b35f36560371,1.206,4.7,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,North Florida Ospreys,Central Arkansas Bears,,,Scheduled,129ab392f838d2a383fb68c2af2db3ee,1.227,4.4,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Coastal Carolina Chanticleers,Georgia Southern Eagles,,,Scheduled,322f40eb04ad912a278006ea54751761,1.704,2.2,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Drexel Dragons,Elon Phoenix,,,Scheduled,19d8086452475daa4b36874d0f0b8217,1.781,2.06,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Fairfield Stags,Niagara Purple Eagles,,,Scheduled,34d828a0c977168ec869c72eab8ced31,1.926,1.893,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Florida Int'l Golden Panthers,New Mexico St Aggies,,,Scheduled,9657c466edc433a6a735dcd054bd3bb6,2.36,1.61,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Hampton Pirates,William & Mary Tribe,,,Scheduled,81a91ef0fd66ed02f549b601cf368ba2,2.36,1.617,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Longwood Lancers,High Point Panthers,,,Scheduled,7f79dd4b49dc02e0aaabfb6f06c78632,2.36,1.61,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Towson Tigers,Hofstra Pride,,,Scheduled,77ac5ae2469b506744190323706f79f9,1.588,2.4,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Jacksonville Dolphins,North Alabama Lions,,,Scheduled,789b76f12aa43700fd0725fe332fb3cc,2.1,1.769,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Jacksonville St Gamecocks,Louisiana Tech Bulldogs,,,Scheduled,25486b70bf26e8b1aa78b49c265ef568,2.12,1.746,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,James Madison Dukes,Marshall Thundering Herd,,,Scheduled,ce6f60cbed0e4f3f4358bd522cacad57,1.408,2.98,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Kennesaw St Owls,Sam Houston St Bearkats,,,Scheduled,81102047d90e582f5a10e12343b12b97,1.909,1.909,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Saint Peter's Peacocks,Marist Red Foxes,,,Scheduled,3101527ee3c6deb4313a4055f4062e79,2.1,1.769,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Temple Owls,Memphis Tigers,,,Scheduled,0a3bdaf90c3c5c7165219205e81a97a4,4.1,1.25,BetRivers,Not Completed
NCAAB,2025-01-16 19:00:00,Quinnipiac Bobcats,Merrimack Warriors,,,Scheduled,7a559edbd3031602510e522abf58ea2d,1.704,2.2,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Minnesota Golden Gophers,Michigan Wolverines,,,Scheduled,6fa346d4d20145f21b1e18918a70a666,4.5,1.208,BetRivers,Not Completed
NCAAB,2025-01-16 19:00:00,North Carolina A&T Aggies,Monmouth Hawks,,,Scheduled,50a14f415d1c2832cd0690843a10b674,1.909,1.909,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Rider Broncs,Mt. St. Mary's Mountaineers,,,Scheduled,2b7b572a6839f15b160f64302729ec0d,2.14,1.741,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,UNC Wilmington Seahawks,Northeastern Huskies,,,Scheduled,50090fa444c89759fa1e62e1237f25d8,1.4,3.02,FanDuel,Not Completed
NCAAB,2025-01-16 19:00:00,Stetson Hatters,Queens University Royals,,,Scheduled,05c234564ccfc3295688c3745721c5be,2.8,1.459,DraftKings,Not Completed
NCAAB,2025-01-16 19:00:00,Siena Saints,Sacred Heart Pioneers,,,Scheduled,82c0766235f02d71d17b72f115fe0876,1.769,2.1,DraftKings,Not Completed
NCAAB,2025-01-16 19:30:00,Morehead St Eagles,Western Illinois Leathernecks,,,Scheduled,a49fbdd6ede47c3ba2581e2264e75b75,1.36,3.09,MyBookie.ag,Not Completed
NCAAB,2025-01-16 20:00:00,Arkansas St Red Wolves,Louisiana Ragin' Cajuns,,,Scheduled,fea089c17961d1c1872ba7fa723805fc,1.048,11.0,FanDuel,Not Completed
NCAAB,2025-01-16 20:00:00,Austin Peay Governors,Eastern Kentucky Colonels,,,Scheduled,29482fe959b14823c11c0e20dca37cec,2.42,1.588,DraftKings,Not Completed
NCAAB,2025-01-16 20:00:00,Tarleton State Texans,Cal Baptist Lancers,,,Scheduled,487e3f0e465b9ed9b6eb379bd9058400,2.64,1.469,MyBookie.ag,Not Completed
