Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.645,2.3,DraftKings,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.667,2.25,Fanatics,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.685,2.24,FanDuel,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.645,2.3,Caesars,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.709,2.18,BetRivers,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.667,2.25,BetMGM,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.667,2.3,LowVig.ag,2025-03-02 05:13:27
NBA,2025-03-02 13:10:00,Boston Celtics,Denver Nuggets,1.667,2.3,BetOnline.ag,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.159,5.9,BetOnline.ag,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.174,5.25,Fanatics,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.159,5.9,LowVig.ag,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.167,5.4,DraftKings,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.161,5.6,FanDuel,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.167,5.3,Caesars,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.169,5.3,BetRivers,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.16,5.5,BetMGM,2025-03-02 05:13:27
NBA,2025-03-02 15:40:00,Cleveland Cavaliers,Portland Trail Blazers,1.16,5.3,Bovada,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.227,4.4,DraftKings,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.235,4.3,Fanatics,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.208,4.6,FanDuel,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.22,4.45,Caesars,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.22,4.4,BetRivers,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.244,4.3,LowVig.ag,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.244,4.3,BetOnline.ag,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.222,4.33,BetMGM,2025-03-02 05:13:27
NBA,2025-03-02 17:10:00,Indiana Pacers,Chicago Bulls,1.217,4.4,Bovada,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.8,1.476,BetOnline.ag,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.8,1.476,LowVig.ag,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.85,1.444,Fanatics,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.85,1.444,DraftKings,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.85,1.444,Caesars,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.8,1.455,BetMGM,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.9,1.435,FanDuel,2025-03-02 05:13:27
NBA,2025-03-02 18:10:00,Miami Heat,New York Knicks,2.85,1.444,BetRivers,2025-03-02 05:13:27
