Sport,Match Date,Home Team,Away Team,Home Team Odds,Away Team Odds,Bookmaker,Draw Odds,Compiled_At
AFL,2025-08-09 02:15:00,Brisbane Lions,Sydney Swans,1.206,4.2,Bovada,,2025-08-08 00:09:00
AFL,2025-08-09 02:15:00,Brisbane Lions,Sydney Swans,1.263,3.8,DraftKings,,2025-08-08 00:09:00
AFL,2025-08-09 02:15:00,Brisbane Lions,Sydney Swans,1.25,4.0,BetUS,,2025-08-08 00:09:00
AFL,2025-08-09 05:35:00,Carlton Blues,Gold Coast Suns,3.8,1.263,DraftKings,,2025-08-08 00:09:00
AFL,2025-08-09 05:35:00,Carlton Blues,Gold Coast Suns,4.4,1.19,Bovada,,2025-08-08 00:09:00
AFL,2025-08-09 05:35:00,Carlton Blues,Gold Coast Suns,4.5,1.2,BetUS,,2025-08-08 00:09:00
AFL,2025-08-09 06:10:00,Port Adelaide Power,Fremantle Dockers,3.9,1.25,DraftKings,,2025-08-08 00:09:00
AFL,2025-08-09 06:10:00,Port Adelaide Power,Fremantle Dockers,4.25,1.222,BetUS,,2025-08-08 00:09:00
AFL,2025-08-09 23:40:00,Greater Western Sydney Giants,North Melbourne Kangaroos,1.056,9.5,DraftKings,,2025-08-08 00:09:00
AFL,2025-08-09 23:40:00,Greater Western Sydney Giants,North Melbourne Kangaroos,1.02,15.0,Bovada,,2025-08-08 00:09:00
MMA,2025-08-09 00:00:00,Michal Gniady,Viktor Cervinsky,1.833,1.833,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 00:00:00,Piotr Kuberski,Radoslaw Paczuski,1.286,3.25,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 06:00:00,Kamil Oniszczuk,David Zawada,1.5,2.5,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 06:00:00,Mark De La Rosa,Dominik Humburger,1.333,3.0,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 06:00:00,Kerim Engizek,Mick Stanton,1.385,2.75,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 06:00:00,Krzysztof Jotko,Marek Mazuch,1.2,4.0,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 13:00:00,Borys Dzikowski,Alain Van De Merckt,2.45,1.571,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 13:00:00,Michal Michalski,Andi Vrtacic,1.667,2.1,BetOnline.ag,,2025-08-08 00:09:00
MMA,2025-08-09 13:00:00,Bartosz Szewczyk,Dawid Kasperski,1.444,2.6,BetOnline.ag,,2025-08-08 00:09:00
