Bookmaker,Underdog Win %,Favorite Win %,Unknown Games
DraftKings,0.0,100.0,56
Bovada,0.0,100.0,12
BetUS,0.0,100.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.189,4.9,FanDuel,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.174,5.0,DraftKings,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.167,5.0,Caesars,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.179,5.25,BetRivers,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.182,5.0,Bovada,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.154,5.25,BetMGM,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.177,5.35,BetOnline.ag,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.177,5.35,LowVig.ag,2025-01-22 05:12:47
ATP Australian Open,,Jannik Sinner,Alex de Minaur,,,,,2025-01-22 03:40:00,1.154,5.25,BetUS,2025-01-22 05:12:47
Basketball Euroleague,2025-01-22,KK Partizan NIS,Paris Basketball,92.0,86.0,Completed,6ab775d73cdf8786ef825363d2a65abb,2025-01-22 14:30:00,1.377,3.15,DraftKings,2025-01-22 05:12:47
Basketball Euroleague,2025-01-22,KK Partizan NIS,Paris Basketball,92.0,86.0,Completed,6ab775d73cdf8786ef825363d2a65abb,2025-01-22 14:30:00,1.385,3.1,Bovada,2025-01-22 05:12:47
Basketball Euroleague,2025-01-22,KK Partizan NIS,Paris Basketball,92.0,86.0,Completed,6ab775d73cdf8786ef825363d2a65abb,2025-01-22 14:30:00,1.397,2.77,BetUS,2025-01-22 05:12:47
Big Bash,,Sydney Thunder,Melbourne Stars,,,,,2025-01-22 03:30:00,2.2,1.69,Bovada,2025-01-22 05:12:47
