Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,6,33.33,12,66.67,3
LowVig.ag,6,33.33,12,66.67,1
BetOnline.ag,6,33.33,12,66.67,1
BetMGM,13,31.71,28,68.29,8
DraftKings,13,28.26,33,71.74,8
BetUS,3,23.08,10,76.92,1
FanDuel,12,26.67,33,73.33,8
BetRivers,11,26.19,31,73.81,8
Fanatics,6,33.33,12,66.67,6
MyBookie.ag,10,28.57,25,71.43,8
Caesars,9,30.0,21,70.0,8

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,2025-03-13,Dynamo Dresden,Borussia Dortmund II,0.0,0.0,Completed,e2dbf175ff379c5e18fd1fd54a55e55b,2025-03-12 14:00:00,1.426,5.75,Bovada,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Dynamo Dresden,Borussia Dortmund II,0.0,0.0,Completed,e2dbf175ff379c5e18fd1fd54a55e55b,2025-03-12 14:00:00,1.429,6.4,LowVig.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Dynamo Dresden,Borussia Dortmund II,0.0,0.0,Completed,e2dbf175ff379c5e18fd1fd54a55e55b,2025-03-12 14:00:00,1.429,6.4,BetOnline.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,FC Viktoria Köln 1904,Rot-Weiss Essen,1.0,0.0,Completed,d73d1431857979b32e86e0de57178aa1,2025-03-12 14:00:00,2.85,2.35,Bovada,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,FC Viktoria Köln 1904,Rot-Weiss Essen,1.0,0.0,Completed,d73d1431857979b32e86e0de57178aa1,2025-03-12 14:00:00,2.94,2.26,LowVig.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,FC Viktoria Köln 1904,Rot-Weiss Essen,1.0,0.0,Completed,d73d1431857979b32e86e0de57178aa1,2025-03-12 14:00:00,2.94,2.26,BetOnline.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Hansa Rostock,Erzgebirge Aue,4.0,1.0,Completed,6d57118adaa6a2a38ca2d15c942acbc1,2025-03-12 14:00:00,2.05,3.65,Bovada,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Hansa Rostock,Erzgebirge Aue,4.0,1.0,Completed,6d57118adaa6a2a38ca2d15c942acbc1,2025-03-12 14:00:00,1.971,3.7,LowVig.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Hansa Rostock,Erzgebirge Aue,4.0,1.0,Completed,6d57118adaa6a2a38ca2d15c942acbc1,2025-03-12 14:00:00,1.971,3.7,BetOnline.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Waldhof Mannheim,SV Sandhausen,3.0,2.0,Completed,acabfdae3647bdca3b20df70d50dead3,2025-03-12 14:00:00,2.1,3.3,Bovada,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Waldhof Mannheim,SV Sandhausen,3.0,2.0,Completed,acabfdae3647bdca3b20df70d50dead3,2025-03-12 14:00:00,1.98,3.55,LowVig.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Waldhof Mannheim,SV Sandhausen,3.0,2.0,Completed,acabfdae3647bdca3b20df70d50dead3,2025-03-12 14:00:00,1.98,3.55,BetOnline.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Wehen Wiesbaden,TSV 1860 München,0.0,0.0,Completed,f3423ab1bcfa7efceb24ef7af9e9f926,2025-03-12 14:00:00,2.25,3.05,Bovada,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Wehen Wiesbaden,TSV 1860 München,0.0,0.0,Completed,f3423ab1bcfa7efceb24ef7af9e9f926,2025-03-12 14:00:00,2.23,3.05,LowVig.ag,2025-03-11 21:21:17
3. Liga - Germany,2025-03-13,Wehen Wiesbaden,TSV 1860 München,0.0,0.0,Completed,f3423ab1bcfa7efceb24ef7af9e9f926,2025-03-12 14:00:00,2.23,3.05,BetOnline.ag,2025-03-11 21:21:17
A-League,2025-03-13,Melbourne City,Newcastle Jets FC,0.0,1.0,Completed,e6f73d145458a4c89a4a009ff9358781,2025-03-12 04:00:00,1.625,4.9,Bovada,2025-03-11 21:21:17
A-League,2025-03-13,Melbourne City,Newcastle Jets FC,0.0,1.0,Completed,e6f73d145458a4c89a4a009ff9358781,2025-03-12 04:00:00,1.625,4.75,BetMGM,2025-03-11 21:21:17
A-League,2025-03-13,Melbourne City,Newcastle Jets FC,0.0,1.0,Completed,e6f73d145458a4c89a4a009ff9358781,2025-03-12 04:00:00,1.606,5.0,DraftKings,2025-03-11 21:21:17
A-League,2025-03-13,Melbourne City,Newcastle Jets FC,0.0,1.0,Completed,e6f73d145458a4c89a4a009ff9358781,2025-03-12 04:00:00,1.606,5.25,BetOnline.ag,2025-03-11 21:21:17
A-League,2025-03-13,Melbourne City,Newcastle Jets FC,0.0,1.0,Completed,e6f73d145458a4c89a4a009ff9358781,2025-03-12 04:00:00,1.606,5.25,LowVig.ag,2025-03-11 21:21:17
A-League,2025-03-13,Melbourne City,Newcastle Jets FC,0.0,1.0,Completed,e6f73d145458a4c89a4a009ff9358781,2025-03-12 04:00:00,1.625,4.9,BetUS,2025-03-11 21:21:17
Boxing,,Cesar Mateo Tapia,Sergei Vorobev,,,,,2025-03-12 06:00:00,1.1,7.0,DraftKings,2025-03-11 21:21:17
Boxing,,Cesar Mateo Tapia,Sergei Vorobev,,,,,2025-03-12 06:00:00,1.143,5.5,BetOnline.ag,2025-03-11 21:21:17
Boxing,,Cesar Mateo Tapia,Sergei Vorobev,,,,,2025-03-12 06:00:00,1.143,5.5,LowVig.ag,2025-03-11 21:21:17
