Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,18,26.09,51,73.91,4
Bovada,20,28.17,51,71.83,3
BetMGM,14,21.88,50,78.12,3
BetUS,4,23.53,13,76.47,2
FanDuel,17,24.64,52,75.36,4
BetOnline.ag,6,20.69,23,79.31,2
LowVig.ag,6,20.69,23,79.31,2
BetRivers,15,26.79,41,73.21,3
Fanatics,6,30.0,14,70.0,2
MyBookie.ag,13,26.0,37,74.0,4
Caesars,12,25.0,36,75.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250313.0,Richmond Tigers,Carlton Blues,82.0,69.0,Completed,05bab255e2b3079f9cdea6a890f1a5d3,2025-03-13 04:30:00,9.5,1.056,DraftKings,2025-03-12 23:32:42
AFL,20250313.0,Richmond Tigers,Carlton Blues,82.0,69.0,Completed,05bab255e2b3079f9cdea6a890f1a5d3,2025-03-13 04:30:00,13.0,1.03,Bovada,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,ALBA Berlin,Saski Baskonia,97.0,90.0,Completed,17eb3337552473fa7be2e30ec7dea361,2025-03-13 15:00:00,2.6,1.521,DraftKings,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,ALBA Berlin,Saski Baskonia,97.0,90.0,Completed,17eb3337552473fa7be2e30ec7dea361,2025-03-13 15:00:00,2.6,1.513,Bovada,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,Fenerbahce SK,ASVEL Lyon Villeurbanne,92.0,82.0,Completed,69607f830a2e6825bc73dbb93fd2604b,2025-03-13 13:45:00,1.213,4.6,DraftKings,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,Fenerbahce SK,ASVEL Lyon Villeurbanne,92.0,82.0,Completed,69607f830a2e6825bc73dbb93fd2604b,2025-03-13 13:45:00,1.2,4.75,Bovada,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,KK Crvena zvezda,Pallacanestro Olimpia Milano,80.0,82.0,Completed,7c81c753a114fff12cc1458a8b09af43,2025-03-13 14:00:00,1.4,3.05,DraftKings,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,KK Crvena zvezda,Pallacanestro Olimpia Milano,80.0,82.0,Completed,7c81c753a114fff12cc1458a8b09af43,2025-03-13 14:00:00,1.385,3.1,Bovada,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,Maccabi Tel Aviv,AS Monaco,91.0,88.0,Completed,367d1bff82f3c21ac69eedb895d9eef8,2025-03-13 15:05:00,3.2,1.37,DraftKings,2025-03-12 23:32:42
Basketball Euroleague,20250313.0,Maccabi Tel Aviv,AS Monaco,91.0,88.0,Completed,367d1bff82f3c21ac69eedb895d9eef8,2025-03-13 15:05:00,3.4,1.333,Bovada,2025-03-12 23:32:42
