Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,22,39.29,34,60.71,7
LowVig.ag,17,47.22,19,52.78,4
BetOnline.ag,18,45.0,22,55.0,4
DraftKings,23,37.7,38,62.3,10
BetUS,12,48.0,13,52.0,4
FanDuel,19,33.33,38,66.67,8
BetMGM,16,33.33,32,66.67,6
BetRivers,21,36.84,36,63.16,8
Fanatics,2,10.53,17,89.47,6
Caesars,4,14.81,23,85.19,6
MyBookie.ag,6,18.18,27,81.82,7

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250314.0,1. FC Saarbrücken,VfB Stuttgart II,0.0,2.0,Completed,5e100a9a37470fab9545249f6efbe6d7,2025-03-14 14:00:00,1.69,4.6,Bovada,2025-03-13 23:33:47
3. Liga - Germany,20250314.0,1. FC Saarbrücken,VfB Stuttgart II,0.0,2.0,Completed,5e100a9a37470fab9545249f6efbe6d7,2025-03-14 14:00:00,1.629,4.75,LowVig.ag,2025-03-13 23:33:47
3. Liga - Germany,20250314.0,1. FC Saarbrücken,VfB Stuttgart II,0.0,2.0,Completed,5e100a9a37470fab9545249f6efbe6d7,2025-03-14 14:00:00,1.629,4.75,BetOnline.ag,2025-03-13 23:33:47
A-League,20250314.0,Adelaide United,Macarthur FC,4.0,5.0,Completed,861765300e57e322c051b73cf07fca75,2025-03-14 04:35:00,1.625,4.6,Bovada,2025-03-13 23:33:47
A-League,20250314.0,Adelaide United,Macarthur FC,4.0,5.0,Completed,861765300e57e322c051b73cf07fca75,2025-03-14 04:35:00,1.625,4.5,DraftKings,2025-03-13 23:33:47
A-League,20250314.0,Adelaide United,Macarthur FC,4.0,5.0,Completed,861765300e57e322c051b73cf07fca75,2025-03-14 04:35:00,1.606,4.7,BetUS,2025-03-13 23:33:47
A-League,20250314.0,Adelaide United,Macarthur FC,4.0,5.0,Completed,861765300e57e322c051b73cf07fca75,2025-03-14 04:35:00,1.645,4.88,LowVig.ag,2025-03-13 23:33:47
A-League,20250314.0,Adelaide United,Macarthur FC,4.0,5.0,Completed,861765300e57e322c051b73cf07fca75,2025-03-14 04:35:00,1.645,4.88,BetOnline.ag,2025-03-13 23:33:47
AFL,20250314.0,Geelong Cats,Fremantle Dockers,,,Unknown,2c39200ca14727ac8948206fc32f0581,2025-03-14 22:20:00,1.444,2.75,DraftKings,2025-03-13 23:33:47
AFL,20250314.0,Geelong Cats,Fremantle Dockers,,,Unknown,2c39200ca14727ac8948206fc32f0581,2025-03-14 22:20:00,1.417,2.8,Bovada,2025-03-13 23:33:47
AFL,20250314.0,Hawthorn Hawks,Essendon Bombers,111.0,85.0,Completed,7440bf6c41c5e63cadfcbc2463b8bf4a,2025-03-14 04:40:00,1.303,3.45,DraftKings,2025-03-13 23:33:47
AFL,20250314.0,Hawthorn Hawks,Essendon Bombers,111.0,85.0,Completed,7440bf6c41c5e63cadfcbc2463b8bf4a,2025-03-14 04:40:00,1.25,3.75,Bovada,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Barcelona Bàsquet,KK Partizan NIS,87.0,80.0,Completed,bd7a0c108ec70bf21f8b43ff3391252a,2025-03-14 15:45:00,1.676,2.24,DraftKings,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Barcelona Bàsquet,KK Partizan NIS,87.0,80.0,Completed,bd7a0c108ec70bf21f8b43ff3391252a,2025-03-14 15:45:00,1.69,2.2,Bovada,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Barcelona Bàsquet,KK Partizan NIS,87.0,80.0,Completed,bd7a0c108ec70bf21f8b43ff3391252a,2025-03-14 15:45:00,1.704,2.22,BetOnline.ag,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Barcelona Bàsquet,KK Partizan NIS,87.0,80.0,Completed,bd7a0c108ec70bf21f8b43ff3391252a,2025-03-14 15:45:00,1.704,2.22,LowVig.ag,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Bayern München,Anadolu Efes,92.0,97.0,Completed,ec03c364c931527846ae27f540adc81f,2025-03-14 15:30:00,1.741,2.14,DraftKings,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Bayern München,Anadolu Efes,92.0,97.0,Completed,ec03c364c931527846ae27f540adc81f,2025-03-14 15:30:00,1.769,2.1,Bovada,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Bayern München,Anadolu Efes,92.0,97.0,Completed,ec03c364c931527846ae27f540adc81f,2025-03-14 15:30:00,1.769,2.1,BetOnline.ag,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,FC Bayern München,Anadolu Efes,92.0,97.0,Completed,ec03c364c931527846ae27f540adc81f,2025-03-14 15:30:00,1.769,2.1,LowVig.ag,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,Olympiacos,Panathinaikos,76.0,74.0,Completed,1760852239a744126a32a2ed01a68afc,2025-03-14 15:15:00,1.488,2.7,DraftKings,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,Olympiacos,Panathinaikos,76.0,74.0,Completed,1760852239a744126a32a2ed01a68afc,2025-03-14 15:15:00,1.455,2.8,Bovada,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,Olympiacos,Panathinaikos,76.0,74.0,Completed,1760852239a744126a32a2ed01a68afc,2025-03-14 15:15:00,1.465,2.85,BetOnline.ag,2025-03-13 23:33:47
Basketball Euroleague,20250314.0,Olympiacos,Panathinaikos,76.0,74.0,Completed,1760852239a744126a32a2ed01a68afc,2025-03-14 15:15:00,1.465,2.85,LowVig.ag,2025-03-13 23:33:47
Boxing,,Bryce Mills,Alex Martin,,,,,2025-03-14 21:00:00,1.556,2.4,DraftKings,2025-03-13 23:33:47
Boxing,,Bryce Mills,Alex Martin,,,,,2025-03-14 21:00:00,1.541,2.55,BetUS,2025-03-13 23:33:47
Boxing,,Bryce Mills,Alex Martin,,,,,2025-03-14 21:00:00,1.476,2.52,FanDuel,2025-03-13 23:33:47
Boxing,,Bryce Mills,Alex Martin,,,,,2025-03-14 21:00:00,1.476,2.6,Bovada,2025-03-13 23:33:47
Boxing,,Bryce Mills,Alex Martin,,,,,2025-03-14 21:00:00,1.541,2.55,LowVig.ag,2025-03-13 23:33:47
Boxing,,Bryce Mills,Alex Martin,,,,,2025-03-14 21:00:00,1.541,2.55,BetOnline.ag,2025-03-13 23:33:47
Bundesliga - Germany,20250314.0,FC St. Pauli,TSG Hoffenheim,1.0,0.0,Completed,35422c69ad923fd42be830fc9135cf4a,2025-03-14 15:30:00,2.25,3.2,BetMGM,2025-03-13 23:33:47
