Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,28,36.84,48,63.16,3
BetOnline.ag,26,38.24,42,61.76,2
LowVig.ag,26,38.24,42,61.76,2
BetMGM,26,40.0,39,60.0,3
DraftKings,25,35.71,45,64.29,3
BetUS,19,38.0,31,62.0,2
FanDuel,15,31.91,32,68.09,3
BetRivers,26,38.24,42,61.76,3
MyBookie.ag,7,31.82,15,68.18,1
Fanatics,6,33.33,12,66.67,1
Caesars,6,31.58,13,68.42,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250316.0,Alemannia Aachen,Hansa Rostock,2.0,1.0,Completed,0d5941fe4221b6c489dc69b088f16773,2025-03-16 14:30:00,2.4,3.1,Bovada,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,Alemannia Aachen,Hansa Rostock,2.0,1.0,Completed,0d5941fe4221b6c489dc69b088f16773,2025-03-16 14:30:00,2.26,3.1,BetOnline.ag,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,Alemannia Aachen,Hansa Rostock,2.0,1.0,Completed,0d5941fe4221b6c489dc69b088f16773,2025-03-16 14:30:00,2.26,3.1,LowVig.ag,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,Erzgebirge Aue,Waldhof Mannheim,0.0,1.0,Completed,50882072e7347eca0ae94e2bba657f3a,2025-03-16 11:30:00,2.65,2.5,Bovada,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,Erzgebirge Aue,Waldhof Mannheim,0.0,1.0,Completed,50882072e7347eca0ae94e2bba657f3a,2025-03-16 11:30:00,2.58,2.43,BetOnline.ag,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,Erzgebirge Aue,Waldhof Mannheim,0.0,1.0,Completed,50882072e7347eca0ae94e2bba657f3a,2025-03-16 11:30:00,2.58,2.43,LowVig.ag,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,SV Sandhausen,FC Energie Cottbus,0.0,1.0,Completed,c5c6cd335175d5b19d03193a7d9d5d7e,2025-03-16 08:30:00,2.8,2.25,Bovada,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,SV Sandhausen,FC Energie Cottbus,0.0,1.0,Completed,c5c6cd335175d5b19d03193a7d9d5d7e,2025-03-16 08:30:00,2.86,2.14,BetOnline.ag,2025-03-15 23:33:47
3. Liga - Germany,20250316.0,SV Sandhausen,FC Energie Cottbus,0.0,1.0,Completed,c5c6cd335175d5b19d03193a7d9d5d7e,2025-03-16 08:30:00,2.86,2.14,LowVig.ag,2025-03-15 23:33:47
A-League,20250316.0,Auckland FC,Central Coast Mariners,2.0,2.0,Completed,66db0bba769e3c9de52180fd86ed8270,2025-03-16 00:00:00,1.444,6.75,Bovada,2025-03-15 23:33:47
