Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,10,31.25,22,68.75,11
DraftKings,11,33.33,22,66.67,11
LowVig.ag,11,37.93,18,62.07,9
BetOnline.ag,11,37.93,18,62.07,9
Fanatics,9,42.86,12,57.14,6
MyBookie.ag,11,45.83,13,54.17,9
BetMGM,10,38.46,16,61.54,9
FanDuel,10,37.04,17,62.96,9
Caesars,10,41.67,14,58.33,9
BetRivers,10,35.71,18,64.29,9
BetUS,8,38.1,13,61.9,6

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250320.0,Carlton Blues,Hawthorn Hawks,60.0,80.0,Completed,b4789d2d5f24d3a6f617f9d9b54ac765,2025-03-20 04:30:00,2.85,1.4,Bovada,2025-03-19 23:32:02
AFL,20250320.0,Carlton Blues,Hawthorn Hawks,60.0,80.0,Completed,b4789d2d5f24d3a6f617f9d9b54ac765,2025-03-20 04:30:00,2.8,1.426,DraftKings,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,AS Monaco,Fenerbahce SK,91.0,82.0,Completed,4a467b2f00cecea76f0c8923ca58a277,2025-03-20 14:00:00,1.741,2.14,DraftKings,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,AS Monaco,Fenerbahce SK,91.0,82.0,Completed,4a467b2f00cecea76f0c8923ca58a277,2025-03-20 14:00:00,1.73,2.17,LowVig.ag,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,AS Monaco,Fenerbahce SK,91.0,82.0,Completed,4a467b2f00cecea76f0c8923ca58a277,2025-03-20 14:00:00,1.73,2.17,BetOnline.ag,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,Maccabi Tel Aviv,Virtus Segafredo Bologna,77.0,67.0,Completed,429c131522d4153510c106ae0ebcca7a,2025-03-20 15:15:00,1.617,2.36,DraftKings,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,Maccabi Tel Aviv,Virtus Segafredo Bologna,77.0,67.0,Completed,429c131522d4153510c106ae0ebcca7a,2025-03-20 15:15:00,1.625,2.4,BetOnline.ag,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,Maccabi Tel Aviv,Virtus Segafredo Bologna,77.0,67.0,Completed,429c131522d4153510c106ae0ebcca7a,2025-03-20 15:15:00,1.625,2.4,LowVig.ag,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,Maccabi Tel Aviv,Virtus Segafredo Bologna,77.0,67.0,Completed,429c131522d4153510c106ae0ebcca7a,2025-03-20 15:15:00,1.606,2.35,Bovada,2025-03-19 23:32:02
Basketball Euroleague,20250320.0,Olympiacos,KK Crvena zvezda,73.0,81.0,Completed,8e8841a0cad650576f7db47ab6d2d5f0,2025-03-20 14:00:00,1.206,4.7,DraftKings,2025-03-19 23:32:02
