Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,9,36.0,16,64.0,5
Bovada,6,28.57,15,71.43,5
LowVig.ag,9,40.91,13,59.09,4
BetOnline.ag,9,40.91,13,59.09,4
BetUS,8,53.33,7,46.67,2
FanDuel,7,38.89,11,61.11,4
BetMGM,6,35.29,11,64.71,4
BetRivers,5,31.25,11,68.75,4
Fanatics,3,21.43,11,78.57,4
MyBookie.ag,3,21.43,11,78.57,4
Caesars,2,25.0,6,75.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Basketball Euroleague,20250325.0,AS Monaco,Žalgiris,96.0,86.0,Completed,7ec7f8499fb91b44168f45acf4b365e4,2025-03-25 14:00:00,1.323,3.5,DraftKings,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,AS Monaco,Žalgiris,96.0,86.0,Completed,7ec7f8499fb91b44168f45acf4b365e4,2025-03-25 14:00:00,1.308,3.6,Bovada,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,AS Monaco,Žalgiris,96.0,86.0,Completed,7ec7f8499fb91b44168f45acf4b365e4,2025-03-25 14:00:00,1.333,3.5,LowVig.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,AS Monaco,Žalgiris,96.0,86.0,Completed,7ec7f8499fb91b44168f45acf4b365e4,2025-03-25 14:00:00,1.333,3.5,BetOnline.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,AS Monaco,Žalgiris,96.0,86.0,Completed,7ec7f8499fb91b44168f45acf4b365e4,2025-03-25 14:00:00,1.322,3.06,BetUS,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,ASVEL Lyon Villeurbanne,Olympiacos,81.0,70.0,Completed,c12b05e072583e995c40df43dd892668,2025-03-25 15:45:00,3.45,1.328,DraftKings,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,ASVEL Lyon Villeurbanne,Olympiacos,81.0,70.0,Completed,c12b05e072583e995c40df43dd892668,2025-03-25 15:45:00,3.5,1.323,Bovada,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,ASVEL Lyon Villeurbanne,Olympiacos,81.0,70.0,Completed,c12b05e072583e995c40df43dd892668,2025-03-25 15:45:00,3.6,1.323,LowVig.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,ASVEL Lyon Villeurbanne,Olympiacos,81.0,70.0,Completed,c12b05e072583e995c40df43dd892668,2025-03-25 15:45:00,3.6,1.323,BetOnline.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,ASVEL Lyon Villeurbanne,Olympiacos,81.0,70.0,Completed,c12b05e072583e995c40df43dd892668,2025-03-25 15:45:00,3.02,1.331,BetUS,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,FC Barcelona Bàsquet,FC Bayern München,101.0,102.0,Completed,64d21a95483ae60a67a54c2c318f72fd,2025-03-25 15:30:00,1.377,3.15,DraftKings,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,FC Barcelona Bàsquet,FC Bayern München,101.0,102.0,Completed,64d21a95483ae60a67a54c2c318f72fd,2025-03-25 15:30:00,1.364,3.2,Bovada,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,FC Barcelona Bàsquet,FC Bayern München,101.0,102.0,Completed,64d21a95483ae60a67a54c2c318f72fd,2025-03-25 15:30:00,1.377,3.25,LowVig.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,FC Barcelona Bàsquet,FC Bayern München,101.0,102.0,Completed,64d21a95483ae60a67a54c2c318f72fd,2025-03-25 15:30:00,1.377,3.25,BetOnline.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,FC Barcelona Bàsquet,FC Bayern München,101.0,102.0,Completed,64d21a95483ae60a67a54c2c318f72fd,2025-03-25 15:30:00,1.382,2.82,BetUS,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,Fenerbahce SK,Paris Basketball,101.0,100.0,Completed,1c58e70aa4043ae543873b04cd2a5385,2025-03-25 13:45:00,1.253,4.1,DraftKings,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,Fenerbahce SK,Paris Basketball,101.0,100.0,Completed,1c58e70aa4043ae543873b04cd2a5385,2025-03-25 13:45:00,1.235,4.25,Bovada,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,Fenerbahce SK,Paris Basketball,101.0,100.0,Completed,1c58e70aa4043ae543873b04cd2a5385,2025-03-25 13:45:00,1.25,4.2,LowVig.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,Fenerbahce SK,Paris Basketball,101.0,100.0,Completed,1c58e70aa4043ae543873b04cd2a5385,2025-03-25 13:45:00,1.25,4.2,BetOnline.ag,2025-03-24 23:34:43
Basketball Euroleague,20250325.0,Fenerbahce SK,Paris Basketball,101.0,100.0,Completed,1c58e70aa4043ae543873b04cd2a5385,2025-03-25 13:45:00,1.246,3.56,BetUS,2025-03-24 23:34:43
