Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,3,25.0,9,75.0,3
Bovada,3,30.0,7,70.0,3
BetOnline.ag,3,25.0,9,75.0,3
LowVig.ag,3,25.0,9,75.0,3
BetUS,1,14.29,6,85.71,2
Fanatics,3,42.86,4,57.14,3
MyBookie.ag,3,42.86,4,57.14,3
FanDuel,3,33.33,6,66.67,3
BetMGM,3,33.33,6,66.67,3
BetRivers,4,57.14,3,42.86,3
Caesars,1,50.0,1,50.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Basketball Euroleague,20250326.0,Anadolu Efes,Saski Baskonia,92.0,76.0,Completed,a94dcb12c2d268ebff3d17ece3ce14b3,2025-03-26 13:30:00,1.253,4.1,DraftKings,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,Anadolu Efes,Saski Baskonia,92.0,76.0,Completed,a94dcb12c2d268ebff3d17ece3ce14b3,2025-03-26 13:30:00,1.25,4.0,Bovada,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,Anadolu Efes,Saski Baskonia,92.0,76.0,Completed,a94dcb12c2d268ebff3d17ece3ce14b3,2025-03-26 13:30:00,1.25,4.2,BetOnline.ag,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,Anadolu Efes,Saski Baskonia,92.0,76.0,Completed,a94dcb12c2d268ebff3d17ece3ce14b3,2025-03-26 13:30:00,1.25,4.2,LowVig.ag,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,Anadolu Efes,Saski Baskonia,92.0,76.0,Completed,a94dcb12c2d268ebff3d17ece3ce14b3,2025-03-26 13:30:00,1.254,3.49,BetUS,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,KK Crvena zvezda,Virtus Segafredo Bologna,88.0,52.0,Completed,eb33cc27aaf8aac2e28839cf2f8ed607,2025-03-26 15:00:00,1.206,4.7,DraftKings,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,KK Crvena zvezda,Virtus Segafredo Bologna,88.0,52.0,Completed,eb33cc27aaf8aac2e28839cf2f8ed607,2025-03-26 15:00:00,1.2,4.75,Bovada,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,KK Crvena zvezda,Virtus Segafredo Bologna,88.0,52.0,Completed,eb33cc27aaf8aac2e28839cf2f8ed607,2025-03-26 15:00:00,1.238,4.4,LowVig.ag,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,KK Crvena zvezda,Virtus Segafredo Bologna,88.0,52.0,Completed,eb33cc27aaf8aac2e28839cf2f8ed607,2025-03-26 15:00:00,1.238,4.4,BetOnline.ag,2025-03-25 23:33:40
Basketball Euroleague,20250326.0,KK Crvena zvezda,Virtus Segafredo Bologna,88.0,52.0,Completed,eb33cc27aaf8aac2e28839cf2f8ed607,2025-03-26 15:00:00,1.215,3.85,BetUS,2025-03-25 23:33:40
