Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,20,39.22,31,60.78,5
BetOnline.ag,20,39.22,31,60.78,5
LowVig.ag,20,38.46,32,61.54,5
DraftKings,20,36.36,35,63.64,6
BetUS,12,31.58,26,68.42,5
FanDuel,17,35.42,31,64.58,5
BetMGM,17,35.42,31,64.58,5
BetRivers,18,37.5,30,62.5,5
Fanatics,2,15.38,11,84.62,4
MyBookie.ag,1,7.14,13,92.86,3
Caesars,0,0.0,7,100.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250328.0,SC Verl,Rot-Weiss Essen,3.0,0.0,Completed,fc794f32f92efce7ac67af24498cdc12,2025-03-28 14:00:00,2.3,2.95,Bovada,2025-03-27 23:35:16
3. Liga - Germany,20250328.0,SC Verl,Rot-Weiss Essen,3.0,0.0,Completed,fc794f32f92efce7ac67af24498cdc12,2025-03-28 14:00:00,2.17,2.97,BetOnline.ag,2025-03-27 23:35:16
3. Liga - Germany,20250328.0,SC Verl,Rot-Weiss Essen,3.0,0.0,Completed,fc794f32f92efce7ac67af24498cdc12,2025-03-28 14:00:00,2.17,2.97,LowVig.ag,2025-03-27 23:35:16
A-League,20250328.0,Macarthur FC,Newcastle Jets FC,3.0,3.0,Completed,fc5be7b7df52110d8c587e6ab3425da3,2025-03-28 04:35:00,2.25,2.8,Bovada,2025-03-27 23:35:16
A-League,20250328.0,Macarthur FC,Newcastle Jets FC,3.0,3.0,Completed,fc5be7b7df52110d8c587e6ab3425da3,2025-03-28 04:35:00,2.3,2.8,DraftKings,2025-03-27 23:35:16
A-League,20250328.0,Macarthur FC,Newcastle Jets FC,3.0,3.0,Completed,fc5be7b7df52110d8c587e6ab3425da3,2025-03-28 04:35:00,2.25,2.8,BetUS,2025-03-27 23:35:16
A-League,20250328.0,Macarthur FC,Newcastle Jets FC,3.0,3.0,Completed,fc5be7b7df52110d8c587e6ab3425da3,2025-03-28 04:35:00,2.3,2.94,BetOnline.ag,2025-03-27 23:35:16
A-League,20250328.0,Macarthur FC,Newcastle Jets FC,3.0,3.0,Completed,fc5be7b7df52110d8c587e6ab3425da3,2025-03-28 04:35:00,2.3,2.94,LowVig.ag,2025-03-27 23:35:16
AFL,20250328.0,Carlton Blues,Western Bulldogs,75.0,83.0,Completed,ddc242dccd6998a9626b0aabd1bae407,2025-03-28 04:40:00,2.1,1.714,DraftKings,2025-03-27 23:35:16
AFL,20250328.0,Carlton Blues,Western Bulldogs,75.0,83.0,Completed,ddc242dccd6998a9626b0aabd1bae407,2025-03-28 04:40:00,1.952,1.8,Bovada,2025-03-27 23:35:16
AFL,20250328.0,Carlton Blues,Western Bulldogs,75.0,83.0,Completed,ddc242dccd6998a9626b0aabd1bae407,2025-03-28 04:40:00,2.1,1.714,BetUS,2025-03-27 23:35:16
AFL,20250328.0,Melbourne Demons,Gold Coast Suns,,,Unknown,5ef4c1000bec0ff6785ef9c7dd8a09a7,2025-03-28 22:20:00,1.952,1.8,DraftKings,2025-03-27 23:35:16
