Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,33,39.29,51,60.71,1
LowVig.ag,33,40.74,48,59.26,1
BetOnline.ag,33,40.74,48,59.26,1
DraftKings,33,41.77,46,58.23,1
BetMGM,30,40.0,45,60.0,1
BetUS,27,36.99,46,63.01,1
FanDuel,32,42.11,44,57.89,1
BetRivers,31,44.93,38,55.07,1
Fanatics,4,25.0,12,75.0,1
MyBookie.ag,4,23.53,13,76.47,1
Caesars,4,23.53,13,76.47,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250330.0,Dynamo Dresden,Wehen Wiesbaden,2.0,0.0,Completed,c381a06bbe4e9a77464be048a1250d7d,2025-03-30 10:30:00,1.69,4.7,Bovada,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,Dynamo Dresden,Wehen Wiesbaden,2.0,0.0,Completed,c381a06bbe4e9a77464be048a1250d7d,2025-03-30 10:30:00,1.629,4.6,LowVig.ag,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,Dynamo Dresden,Wehen Wiesbaden,2.0,0.0,Completed,c381a06bbe4e9a77464be048a1250d7d,2025-03-30 10:30:00,1.629,4.6,BetOnline.ag,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,FC Ingolstadt 04,FC Viktoria Köln 1904,3.0,1.0,Completed,7005711b73717eb56fc41ce309237a7e,2025-03-30 07:30:00,2.1,3.25,Bovada,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,FC Ingolstadt 04,FC Viktoria Köln 1904,3.0,1.0,Completed,7005711b73717eb56fc41ce309237a7e,2025-03-30 07:30:00,2.06,3.1,LowVig.ag,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,FC Ingolstadt 04,FC Viktoria Köln 1904,3.0,1.0,Completed,7005711b73717eb56fc41ce309237a7e,2025-03-30 07:30:00,2.06,3.1,BetOnline.ag,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,VfB Stuttgart II,SV Sandhausen,2.0,1.0,Completed,a5ad249498e367bdb53c55a90c19dbf9,2025-03-30 13:30:00,2.25,2.9,Bovada,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,VfB Stuttgart II,SV Sandhausen,2.0,1.0,Completed,a5ad249498e367bdb53c55a90c19dbf9,2025-03-30 13:30:00,2.1,3.0,LowVig.ag,2025-03-29 23:39:30
3. Liga - Germany,20250330.0,VfB Stuttgart II,SV Sandhausen,2.0,1.0,Completed,a5ad249498e367bdb53c55a90c19dbf9,2025-03-30 13:30:00,2.1,3.0,BetOnline.ag,2025-03-29 23:39:30
A-League,20250330.0,Brisbane Roar,Auckland FC,0.0,2.0,Completed,0e0a06d17b522f600d8b84443f058406,2025-03-30 02:00:00,4.0,1.87,Bovada,2025-03-29 23:39:30
A-League,20250330.0,Brisbane Roar,Auckland FC,0.0,2.0,Completed,0e0a06d17b522f600d8b84443f058406,2025-03-30 02:00:00,3.95,1.87,DraftKings,2025-03-29 23:39:30
A-League,20250330.0,Brisbane Roar,Auckland FC,0.0,2.0,Completed,0e0a06d17b522f600d8b84443f058406,2025-03-30 02:00:00,3.9,1.847,BetMGM,2025-03-29 23:39:30
A-League,20250330.0,Brisbane Roar,Auckland FC,0.0,2.0,Completed,0e0a06d17b522f600d8b84443f058406,2025-03-30 02:00:00,4.26,1.885,LowVig.ag,2025-03-29 23:39:30
A-League,20250330.0,Brisbane Roar,Auckland FC,0.0,2.0,Completed,0e0a06d17b522f600d8b84443f058406,2025-03-30 02:00:00,4.26,1.885,BetOnline.ag,2025-03-29 23:39:30
A-League,20250330.0,Brisbane Roar,Auckland FC,0.0,2.0,Completed,0e0a06d17b522f600d8b84443f058406,2025-03-30 02:00:00,4.04,1.82,BetUS,2025-03-29 23:39:30
A-League,20250330.0,Central Coast Mariners,Perth Glory,3.0,1.0,Completed,a5bb18bd91c26834e20dca5be6a627c1,2025-03-30 00:00:00,1.952,3.6,Bovada,2025-03-29 23:39:30
A-League,20250330.0,Central Coast Mariners,Perth Glory,3.0,1.0,Completed,a5bb18bd91c26834e20dca5be6a627c1,2025-03-30 00:00:00,1.909,3.55,DraftKings,2025-03-29 23:39:30
A-League,20250330.0,Central Coast Mariners,Perth Glory,3.0,1.0,Completed,a5bb18bd91c26834e20dca5be6a627c1,2025-03-30 00:00:00,1.952,3.4,BetMGM,2025-03-29 23:39:30
A-League,20250330.0,Central Coast Mariners,Perth Glory,3.0,1.0,Completed,a5bb18bd91c26834e20dca5be6a627c1,2025-03-30 00:00:00,1.935,3.69,BetUS,2025-03-29 23:39:30
A-League,20250330.0,Central Coast Mariners,Perth Glory,3.0,1.0,Completed,a5bb18bd91c26834e20dca5be6a627c1,2025-03-30 00:00:00,1.952,3.74,LowVig.ag,2025-03-29 23:39:30
A-League,20250330.0,Central Coast Mariners,Perth Glory,3.0,1.0,Completed,a5bb18bd91c26834e20dca5be6a627c1,2025-03-30 00:00:00,1.952,3.74,BetOnline.ag,2025-03-29 23:39:30
AFL,20250330.0,Adelaide Crows,North Melbourne Kangaroos,114.0,78.0,Completed,b49d48fab4faf1eae9e3969bd144699a,2025-03-30 00:20:00,1.071,8.0,Bovada,2025-03-29 23:39:30
AFL,20250330.0,Adelaide Crows,North Melbourne Kangaroos,114.0,78.0,Completed,b49d48fab4faf1eae9e3969bd144699a,2025-03-30 00:20:00,1.111,6.0,DraftKings,2025-03-29 23:39:30
AFL,20250330.0,West Coast Eagles,Fremantle Dockers,68.0,106.0,Completed,6b8300b6a7837bc0f1e98c294d374e43,2025-03-30 03:10:00,3.85,1.256,DraftKings,2025-03-29 23:39:30
AFL,20250330.0,West Coast Eagles,Fremantle Dockers,68.0,106.0,Completed,6b8300b6a7837bc0f1e98c294d374e43,2025-03-30 03:10:00,4.2,1.206,Bovada,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,3.05,2.4,DraftKings,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,2.95,2.3,FanDuel,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,2.95,2.35,BetMGM,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,3.0,2.35,Bovada,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,3.1,2.2,BetRivers,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,3.0,2.35,BetUS,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,2.94,2.31,LowVig.ag,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,FC Blau-Weiß Linz,Austria Wien,0.0,2.0,Completed,853f4ea230a53d5920adc88181dabb52,2025-03-30 08:30:00,2.94,2.31,BetOnline.ag,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.6,2.65,DraftKings,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.5,2.5,FanDuel,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.6,2.6,Bovada,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.35,2.7,BetRivers,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.6,2.6,BetUS,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.55,2.53,LowVig.ag,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Rapid Wien,RB Salzburg,0.0,2.0,Completed,f79891db405b74be06cd0478aa662d21,2025-03-30 11:00:00,2.55,2.53,BetOnline.ag,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.85,2.4,DraftKings,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.7,2.35,FanDuel,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.8,2.35,BetMGM,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.85,2.35,Bovada,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.65,2.35,BetRivers,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.85,2.35,BetUS,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.8,2.35,LowVig.ag,2025-03-29 23:39:30
Austrian Football Bundesliga,20250330.0,Wolfsberger AC,Sturm Graz,1.0,1.0,Completed,5cb4db0921b72481a45fedced78e2de2,2025-03-30 08:30:00,2.8,2.35,BetOnline.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.455,6.0,FanDuel,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.526,5.75,Bovada,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.541,6.5,DraftKings,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.541,6.0,BetMGM,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.5,6.4,BetRivers,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.526,5.75,BetUS,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.521,5.8,LowVig.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,Club Brugge,Anderlecht,2.0,0.0,Completed,f1942c596c57ef8ff5c460c995b01a39,2025-03-30 07:30:00,1.521,5.8,BetOnline.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.6,2.45,FanDuel,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.6,2.5,Bovada,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.7,2.55,DraftKings,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.6,2.5,BetMGM,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.65,2.43,BetRivers,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.6,2.5,BetUS,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.64,2.48,LowVig.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,Dender,Westerlo,1.0,0.0,Completed,dfe3dc4a7b37e548ba57181fc84c25fc,2025-03-30 13:15:00,2.64,2.48,BetOnline.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.541,5.3,FanDuel,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.588,5.2,Bovada,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.588,5.25,DraftKings,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.606,5.0,BetMGM,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.513,6.0,BetRivers,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.588,5.2,BetUS,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.592,5.1,LowVig.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,Genk,Gent,4.0,0.0,Completed,f7f64fff7ea73863076a9ef3ae537413,2025-03-30 12:30:00,1.592,5.1,BetOnline.ag,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.75,2.5,FanDuel,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.8,2.65,DraftKings,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.75,2.65,Bovada,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.8,2.6,BetMGM,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.85,2.55,BetRivers,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.75,2.65,BetUS,2025-03-29 23:39:30
Belgium First Div,20250330.0,KV Kortrijk,Cercle Brugge KSV,2.0,2.0,Completed,491c424590720b2d42a9bab2006cb8af,2025-03-30 10:00:00,2.82,2.51,LowVig.ag,2025-03-29 23:39:30
