Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
BetRivers,6,37.5,10,62.5,2
Bovada,7,41.18,10,58.82,2
FanDuel,8,40.0,12,60.0,3
DraftKings,7,35.0,13,65.0,3
BetMGM,7,35.0,13,65.0,3
BetUS,5,38.46,8,61.54,2
BetOnline.ag,6,33.33,12,66.67,3
LowVig.ag,6,33.33,12,66.67,3
Fanatics,3,30.0,7,70.0,2
MyBookie.ag,3,30.0,7,70.0,2
Caesars,3,30.0,7,70.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.637,5.25,BetRivers,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.714,4.8,Bovada,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.588,5.5,FanDuel,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.667,5.0,DraftKings,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.667,4.8,BetMGM,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.714,4.8,BetUS,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.69,5.0,BetOnline.ag,2025-03-30 23:38:33
Denmark Superliga,20250331.0,FC Copenhagen,Randers FC,1.0,0.0,Completed,12903b36a058f83f3db4d2e12965d7b4,2025-03-31 13:00:00,1.69,5.0,LowVig.ag,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.541,5.9,FanDuel,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.588,5.4,Bovada,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.556,5.8,BetRivers,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.571,5.25,DraftKings,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.571,5.5,BetMGM,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.588,6.18,LowVig.ag,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.588,6.18,BetOnline.ag,2025-03-30 23:38:33
La Liga - Spain,20250331.0,Celta Vigo,Las Palmas,1.0,1.0,Completed,5756f0bad7690db51b1287d7d7d69eac,2025-03-31 15:00:00,1.571,5.75,BetUS,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.3,3.55,Bovada,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.2,3.4,FanDuel,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.25,3.55,DraftKings,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.2,3.4,BetMGM,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.3,3.55,BetUS,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.29,3.35,LowVig.ag,2025-03-30 23:38:33
La Liga 2 - Spain,20250331.0,Cádiz CF,SD Eibar,0.0,0.0,Completed,0bcb8a7dca0bbffda3c6210e3d555480,2025-03-31 14:30:00,2.29,3.35,BetOnline.ag,2025-03-30 23:38:33
