Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,8,33.33,16,66.67,4
Bovada,9,36.0,16,64.0,5
BetOnline.ag,8,40.0,12,60.0,3
BetUS,7,36.84,12,63.16,3
LowVig.ag,8,40.0,12,60.0,3
FanDuel,8,33.33,16,66.67,4
BetMGM,6,31.58,13,68.42,4
BetRivers,9,36.0,16,64.0,5
MyBookie.ag,6,37.5,10,62.5,4
Fanatics,6,42.86,8,57.14,4
Caesars,2,22.22,7,77.78,4

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Basketball Euroleague,20250402.0,Fenerbahce SK,FC Barcelona Bàsquet,75.0,83.0,Completed,34c33f49a209a71d967d661ce88cd70e,2025-04-02 13:45:00,1.435,2.9,DraftKings,2025-04-01 23:37:36
Basketball Euroleague,20250402.0,Fenerbahce SK,FC Barcelona Bàsquet,75.0,83.0,Completed,34c33f49a209a71d967d661ce88cd70e,2025-04-02 13:45:00,1.435,2.9,Bovada,2025-04-01 23:37:36
Basketball Euroleague,20250402.0,Fenerbahce SK,FC Barcelona Bàsquet,75.0,83.0,Completed,34c33f49a209a71d967d661ce88cd70e,2025-04-02 13:45:00,1.426,2.95,BetOnline.ag,2025-04-01 23:37:36
Basketball Euroleague,20250402.0,Fenerbahce SK,FC Barcelona Bàsquet,75.0,83.0,Completed,34c33f49a209a71d967d661ce88cd70e,2025-04-02 13:45:00,1.439,2.68,BetUS,2025-04-01 23:37:36
Basketball Euroleague,20250402.0,Fenerbahce SK,FC Barcelona Bàsquet,75.0,83.0,Completed,34c33f49a209a71d967d661ce88cd70e,2025-04-02 13:45:00,1.426,2.95,LowVig.ag,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.3,3.6,FanDuel,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.3,3.5,BetMGM,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.35,3.4,Bovada,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.3,3.55,DraftKings,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.25,3.4,LowVig.ag,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.25,3.4,BetOnline.ag,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.35,3.4,BetUS,2025-04-01 23:37:36
Championship,20250402.0,Derby County,Preston North End,2.0,0.0,Completed,de88a87e15bb920e2fcd7d5aeadfc8cb,2025-04-02 14:45:00,2.25,3.5,BetRivers,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Atlético Nacional S.A,Nacional de Montevideo,,,Unknown,f0d5069145b6e68a0866406b91854051,2025-04-02 22:00:00,1.699,5.1,BetRivers,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Atlético Nacional S.A,Nacional de Montevideo,,,Unknown,f0d5069145b6e68a0866406b91854051,2025-04-02 22:00:00,1.667,5.0,Bovada,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Atlético Nacional S.A,Nacional de Montevideo,,,Unknown,f0d5069145b6e68a0866406b91854051,2025-04-02 22:00:00,1.667,5.0,BetUS,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Atlético Nacional S.A,Nacional de Montevideo,,,Unknown,f0d5069145b6e68a0866406b91854051,2025-04-02 22:00:00,1.699,4.8,BetOnline.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Atlético Nacional S.A,Nacional de Montevideo,,,Unknown,f0d5069145b6e68a0866406b91854051,2025-04-02 22:00:00,1.699,4.8,LowVig.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,C.D. San Antonio Bulo Bulo,Olimpia Asunción,3.0,2.0,Completed,83e0fda1927bbc95d58c237b4ac5757c,2025-04-02 18:00:00,5.5,1.565,BetRivers,2025-04-01 23:37:36
Copa Libertadores,20250402.0,C.D. San Antonio Bulo Bulo,Olimpia Asunción,3.0,2.0,Completed,83e0fda1927bbc95d58c237b4ac5757c,2025-04-02 18:00:00,5.0,1.667,Bovada,2025-04-01 23:37:36
Copa Libertadores,20250402.0,C.D. San Antonio Bulo Bulo,Olimpia Asunción,3.0,2.0,Completed,83e0fda1927bbc95d58c237b4ac5757c,2025-04-02 18:00:00,5.05,1.645,BetUS,2025-04-01 23:37:36
Copa Libertadores,20250402.0,C.D. San Antonio Bulo Bulo,Olimpia Asunción,3.0,2.0,Completed,83e0fda1927bbc95d58c237b4ac5757c,2025-04-02 18:00:00,4.95,1.658,LowVig.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,C.D. San Antonio Bulo Bulo,Olimpia Asunción,3.0,2.0,Completed,83e0fda1927bbc95d58c237b4ac5757c,2025-04-02 18:00:00,4.95,1.658,BetOnline.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Atletico Talleres,Sao Paulo,0.0,1.0,Completed,7f061ba0facd1010979d5aefe543555e,2025-04-02 20:30:00,2.18,3.65,BetRivers,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Atletico Talleres,Sao Paulo,0.0,1.0,Completed,7f061ba0facd1010979d5aefe543555e,2025-04-02 20:30:00,2.21,3.66,BetOnline.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Atletico Talleres,Sao Paulo,0.0,1.0,Completed,7f061ba0facd1010979d5aefe543555e,2025-04-02 20:30:00,2.21,3.66,LowVig.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Atletico Talleres,Sao Paulo,0.0,1.0,Completed,7f061ba0facd1010979d5aefe543555e,2025-04-02 20:30:00,2.17,3.71,BetUS,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Universitario de Deportes,River Plate,0.0,1.0,Completed,e32fbf21f8fda67b8b4a589b6386a401,2025-04-02 20:30:00,4.35,1.952,BetRivers,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Universitario de Deportes,River Plate,0.0,1.0,Completed,e32fbf21f8fda67b8b4a589b6386a401,2025-04-02 20:30:00,4.0,2.0,Bovada,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Universitario de Deportes,River Plate,0.0,1.0,Completed,e32fbf21f8fda67b8b4a589b6386a401,2025-04-02 20:30:00,4.59,1.935,BetUS,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Universitario de Deportes,River Plate,0.0,1.0,Completed,e32fbf21f8fda67b8b4a589b6386a401,2025-04-02 20:30:00,4.52,1.971,BetOnline.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Club Universitario de Deportes,River Plate,0.0,1.0,Completed,e32fbf21f8fda67b8b4a589b6386a401,2025-04-02 20:30:00,4.52,1.971,LowVig.ag,2025-04-01 23:37:36
Copa Libertadores,,Universidad de Chile,Botafogo,,,,,2025-04-02 20:30:00,2.88,2.45,BetRivers,2025-04-01 23:37:36
Copa Libertadores,,Universidad de Chile,Botafogo,,,,,2025-04-02 20:30:00,2.8,2.45,Bovada,2025-04-01 23:37:36
Copa Libertadores,,Universidad de Chile,Botafogo,,,,,2025-04-02 20:30:00,2.8,2.45,BetUS,2025-04-01 23:37:36
Copa Libertadores,,Universidad de Chile,Botafogo,,,,,2025-04-02 20:30:00,2.73,2.5,BetOnline.ag,2025-04-01 23:37:36
Copa Libertadores,,Universidad de Chile,Botafogo,,,,,2025-04-02 20:30:00,2.73,2.5,LowVig.ag,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Velez Sarsfield,Peñarol Montevideo,2.0,1.0,Completed,1e5766598ad31fb9ffdb851706326acd,2025-04-02 18:00:00,1.917,4.4,BetRivers,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Velez Sarsfield,Peñarol Montevideo,2.0,1.0,Completed,1e5766598ad31fb9ffdb851706326acd,2025-04-02 18:00:00,1.952,4.4,Bovada,2025-04-01 23:37:36
Copa Libertadores,20250402.0,Velez Sarsfield,Peñarol Montevideo,2.0,1.0,Completed,1e5766598ad31fb9ffdb851706326acd,2025-04-02 18:00:00,1.909,4.45,BetUS,2025-04-01 23:37:36
