Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,69,50.36,68,49.64,7
BetOnline.ag,69,51.88,64,48.12,7
LowVig.ag,69,51.88,64,48.12,5
DraftKings,64,50.0,64,50.0,9
BetMGM,58,50.0,58,50.0,6
BetUS,60,52.17,55,47.83,8
FanDuel,65,52.42,59,47.58,7
BetRivers,61,52.14,56,47.86,7
MyBookie.ag,8,40.0,12,60.0,4
Fanatics,7,38.89,11,61.11,4
Caesars,6,40.0,9,60.0,5

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250405.0,1. FC Saarbrücken,VfL Osnabrück,1.0,1.0,Completed,411db4f0548b6e0b1d6ef073cb16c862,2025-04-05 08:00:00,2.15,3.15,Bovada,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,1. FC Saarbrücken,VfL Osnabrück,1.0,1.0,Completed,411db4f0548b6e0b1d6ef073cb16c862,2025-04-05 08:00:00,2.08,3.1,BetOnline.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,1. FC Saarbrücken,VfL Osnabrück,1.0,1.0,Completed,411db4f0548b6e0b1d6ef073cb16c862,2025-04-05 08:00:00,2.08,3.1,LowVig.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Alemannia Aachen,Arminia Bielefeld,0.0,1.0,Completed,0329b722768aa88c366bc2e6729793eb,2025-04-05 10:30:00,3.0,2.35,Bovada,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Alemannia Aachen,Arminia Bielefeld,0.0,1.0,Completed,0329b722768aa88c366bc2e6729793eb,2025-04-05 10:30:00,3.05,2.17,LowVig.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Alemannia Aachen,Arminia Bielefeld,0.0,1.0,Completed,0329b722768aa88c366bc2e6729793eb,2025-04-05 10:30:00,3.05,2.17,BetOnline.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Erzgebirge Aue,VfB Stuttgart II,2.0,1.0,Completed,61623386c4ba6cef7e82c2df95ee0e59,2025-04-05 08:00:00,2.15,3.2,Bovada,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Erzgebirge Aue,VfB Stuttgart II,2.0,1.0,Completed,61623386c4ba6cef7e82c2df95ee0e59,2025-04-05 08:00:00,2.09,3.1,BetOnline.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Erzgebirge Aue,VfB Stuttgart II,2.0,1.0,Completed,61623386c4ba6cef7e82c2df95ee0e59,2025-04-05 08:00:00,2.09,3.1,LowVig.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,FC Viktoria Köln 1904,SpVgg Unterhaching,3.0,1.0,Completed,ba189921400d0319b2acdae3f05b9b89,2025-04-05 08:00:00,1.833,4.0,Bovada,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,FC Viktoria Köln 1904,SpVgg Unterhaching,3.0,1.0,Completed,ba189921400d0319b2acdae3f05b9b89,2025-04-05 08:00:00,1.763,4.1,BetOnline.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,FC Viktoria Köln 1904,SpVgg Unterhaching,3.0,1.0,Completed,ba189921400d0319b2acdae3f05b9b89,2025-04-05 08:00:00,1.763,4.1,LowVig.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,TSV 1860 München,FC Energie Cottbus,5.0,1.0,Completed,59a3710c36282f4fef2982ae11d38ee4,2025-04-05 08:00:00,2.65,2.5,Bovada,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,TSV 1860 München,FC Energie Cottbus,5.0,1.0,Completed,59a3710c36282f4fef2982ae11d38ee4,2025-04-05 08:00:00,2.54,2.43,BetOnline.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,TSV 1860 München,FC Energie Cottbus,5.0,1.0,Completed,59a3710c36282f4fef2982ae11d38ee4,2025-04-05 08:00:00,2.54,2.43,LowVig.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Wehen Wiesbaden,Waldhof Mannheim,2.0,2.0,Completed,0e8dcc928317596131e0f20e0b0456d8,2025-04-05 08:00:00,2.75,2.55,Bovada,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Wehen Wiesbaden,Waldhof Mannheim,2.0,2.0,Completed,0e8dcc928317596131e0f20e0b0456d8,2025-04-05 08:00:00,2.68,2.44,BetOnline.ag,2025-04-04 23:33:31
3. Liga - Germany,20250405.0,Wehen Wiesbaden,Waldhof Mannheim,2.0,2.0,Completed,0e8dcc928317596131e0f20e0b0456d8,2025-04-05 08:00:00,2.68,2.44,LowVig.ag,2025-04-04 23:33:31
A-League,20250405.0,Adelaide United,Sydney FC,2.0,3.0,Completed,7b62dc4071b5e8e035aa21cb9380de9d,2025-04-05 04:35:00,2.2,2.75,Bovada,2025-04-04 23:33:31
A-League,20250405.0,Adelaide United,Sydney FC,2.0,3.0,Completed,7b62dc4071b5e8e035aa21cb9380de9d,2025-04-05 04:35:00,2.2,2.8,DraftKings,2025-04-04 23:33:31
A-League,20250405.0,Adelaide United,Sydney FC,2.0,3.0,Completed,7b62dc4071b5e8e035aa21cb9380de9d,2025-04-05 04:35:00,2.25,2.65,BetMGM,2025-04-04 23:33:31
A-League,20250405.0,Adelaide United,Sydney FC,2.0,3.0,Completed,7b62dc4071b5e8e035aa21cb9380de9d,2025-04-05 04:35:00,2.28,2.77,LowVig.ag,2025-04-04 23:33:31
A-League,20250405.0,Adelaide United,Sydney FC,2.0,3.0,Completed,7b62dc4071b5e8e035aa21cb9380de9d,2025-04-05 04:35:00,2.28,2.77,BetOnline.ag,2025-04-04 23:33:31
A-League,20250405.0,Adelaide United,Sydney FC,2.0,3.0,Completed,7b62dc4071b5e8e035aa21cb9380de9d,2025-04-05 04:35:00,2.2,2.75,BetUS,2025-04-04 23:33:31
A-League,20250405.0,Auckland FC,Western Sydney Wanderers,1.0,1.0,Completed,e2ddc9b4ed381d771a4dcfef8c5d085f,2025-04-05 00:00:00,1.909,3.5,Bovada,2025-04-04 23:33:31
A-League,20250405.0,Auckland FC,Western Sydney Wanderers,1.0,1.0,Completed,e2ddc9b4ed381d771a4dcfef8c5d085f,2025-04-05 00:00:00,1.909,3.65,DraftKings,2025-04-04 23:33:31
A-League,20250405.0,Auckland FC,Western Sydney Wanderers,1.0,1.0,Completed,e2ddc9b4ed381d771a4dcfef8c5d085f,2025-04-05 00:00:00,1.87,3.5,BetMGM,2025-04-04 23:33:31
A-League,20250405.0,Auckland FC,Western Sydney Wanderers,1.0,1.0,Completed,e2ddc9b4ed381d771a4dcfef8c5d085f,2025-04-05 00:00:00,1.926,3.84,LowVig.ag,2025-04-04 23:33:31
