Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,39,43.82,50,56.18,1
LowVig.ag,40,46.51,46,53.49,1
BetOnline.ag,40,46.51,46,53.49,1
DraftKings,40,46.51,46,53.49,1
BetMGM,38,46.34,44,53.66,1
BetUS,29,47.54,32,52.46,0
FanDuel,37,45.12,45,54.88,1
BetRivers,34,44.16,43,55.84,1
MyBookie.ag,12,54.55,10,45.45,1
Fanatics,10,50.0,10,50.0,1
Caesars,8,44.44,10,55.56,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250406.0,Borussia Dortmund II,FC Ingolstadt 04,3.0,3.0,Completed,938c0ec3a4542168c6b6addddc239bb1,2025-04-06 07:30:00,2.8,2.35,Bovada,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,Borussia Dortmund II,FC Ingolstadt 04,3.0,3.0,Completed,938c0ec3a4542168c6b6addddc239bb1,2025-04-06 07:30:00,2.86,2.23,LowVig.ag,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,Borussia Dortmund II,FC Ingolstadt 04,3.0,3.0,Completed,938c0ec3a4542168c6b6addddc239bb1,2025-04-06 07:30:00,2.86,2.23,BetOnline.ag,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,Rot-Weiss Essen,Hansa Rostock,2.0,1.0,Completed,c5d60b379909d504fcf14386bd7b27fe,2025-04-06 13:30:00,2.45,2.8,Bovada,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,Rot-Weiss Essen,Hansa Rostock,2.0,1.0,Completed,c5d60b379909d504fcf14386bd7b27fe,2025-04-06 13:30:00,2.4,2.7,LowVig.ag,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,Rot-Weiss Essen,Hansa Rostock,2.0,1.0,Completed,c5d60b379909d504fcf14386bd7b27fe,2025-04-06 13:30:00,2.4,2.7,BetOnline.ag,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,SV Sandhausen,SC Verl,1.0,3.0,Completed,01b2f00282a2ed11d8f7356791f6b29a,2025-04-06 10:30:00,2.8,2.4,Bovada,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,SV Sandhausen,SC Verl,1.0,3.0,Completed,01b2f00282a2ed11d8f7356791f6b29a,2025-04-06 10:30:00,2.7,2.3,LowVig.ag,2025-04-05 23:36:21
3. Liga - Germany,20250406.0,SV Sandhausen,SC Verl,1.0,3.0,Completed,01b2f00282a2ed11d8f7356791f6b29a,2025-04-06 10:30:00,2.7,2.3,BetOnline.ag,2025-04-05 23:36:21
A-League,20250406.0,Newcastle Jets FC,Wellington Phoenix FC,1.0,2.0,Completed,25ac4e392aa725901742821e3ee75a3c,2025-04-06 03:00:00,1.741,4.3,Bovada,2025-04-05 23:36:21
