Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,11,45.83,13,54.17,4
LowVig.ag,9,50.0,9,50.0,3
BetOnline.ag,9,50.0,9,50.0,3
BetRivers,8,42.11,11,57.89,4
BetMGM,5,35.71,9,64.29,5
FanDuel,5,35.71,9,64.29,6
DraftKings,5,35.71,9,64.29,7
BetUS,5,38.46,8,61.54,3
MyBookie.ag,4,44.44,5,55.56,6
Fanatics,4,36.36,7,63.64,6
Caesars,4,44.44,5,55.56,5

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250409,Dynamo Dresden,FC Ingolstadt 04,2.0,2.0,Completed,76e5630aeac880177da73e46f7ae163e,2025-04-09 13:00:00,1.769,4.1,Bovada,2025-04-08 23:36:29
3. Liga - Germany,20250409,Dynamo Dresden,FC Ingolstadt 04,2.0,2.0,Completed,76e5630aeac880177da73e46f7ae163e,2025-04-09 13:00:00,1.699,3.95,LowVig.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,Dynamo Dresden,FC Ingolstadt 04,2.0,2.0,Completed,76e5630aeac880177da73e46f7ae163e,2025-04-09 13:00:00,1.699,3.95,BetOnline.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,FC Energie Cottbus,Rot-Weiss Essen,0.0,1.0,Completed,c1b6a82e2def361733d7289e21aa0c30,2025-04-09 13:00:00,2.1,3.2,Bovada,2025-04-08 23:36:29
3. Liga - Germany,20250409,FC Energie Cottbus,Rot-Weiss Essen,0.0,1.0,Completed,c1b6a82e2def361733d7289e21aa0c30,2025-04-09 13:00:00,2.05,3.05,LowVig.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,FC Energie Cottbus,Rot-Weiss Essen,0.0,1.0,Completed,c1b6a82e2def361733d7289e21aa0c30,2025-04-09 13:00:00,2.05,3.05,BetOnline.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,SC Verl,Borussia Dortmund II,0.0,1.0,Completed,ad34aa138ae5b2b418d9c0583913d80b,2025-04-09 13:00:00,1.833,3.95,Bovada,2025-04-08 23:36:29
3. Liga - Germany,20250409,SC Verl,Borussia Dortmund II,0.0,1.0,Completed,ad34aa138ae5b2b418d9c0583913d80b,2025-04-09 13:00:00,1.775,3.8,LowVig.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,SC Verl,Borussia Dortmund II,0.0,1.0,Completed,ad34aa138ae5b2b418d9c0583913d80b,2025-04-09 13:00:00,1.775,3.8,BetOnline.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,TSV 1860 München,SV Sandhausen,2.0,0.0,Completed,8b78461ea8ff98fc452832cf860c7a9f,2025-04-09 13:00:00,1.87,3.75,Bovada,2025-04-08 23:36:29
3. Liga - Germany,20250409,TSV 1860 München,SV Sandhausen,2.0,0.0,Completed,8b78461ea8ff98fc452832cf860c7a9f,2025-04-09 13:00:00,1.794,3.8,LowVig.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,TSV 1860 München,SV Sandhausen,2.0,0.0,Completed,8b78461ea8ff98fc452832cf860c7a9f,2025-04-09 13:00:00,1.794,3.8,BetOnline.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,VfL Osnabrück,Hansa Rostock,0.0,1.0,Completed,8ae551b7d2afb33b6d9a5418af90d3ac,2025-04-09 13:00:00,2.4,2.9,Bovada,2025-04-08 23:36:29
3. Liga - Germany,20250409,VfL Osnabrück,Hansa Rostock,0.0,1.0,Completed,8ae551b7d2afb33b6d9a5418af90d3ac,2025-04-09 13:00:00,2.3,2.8,LowVig.ag,2025-04-08 23:36:29
3. Liga - Germany,20250409,VfL Osnabrück,Hansa Rostock,0.0,1.0,Completed,8ae551b7d2afb33b6d9a5418af90d3ac,2025-04-09 13:00:00,2.3,2.8,BetOnline.ag,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.606,5.2,BetRivers,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.625,5.0,BetMGM,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.645,4.9,Bovada,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.588,5.2,FanDuel,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.645,5.25,DraftKings,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.621,4.65,LowVig.ag,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.621,4.65,BetOnline.ag,2025-04-08 23:36:29
Championship,20250409,Coventry City,Portsmouth,1.0,0.0,Completed,3b5650b300374e458d7966483a16d823,2025-04-09 15:00:00,1.645,4.9,BetUS,2025-04-08 23:36:29
