Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,10,38.46,16,61.54,6
Bovada,12,41.38,17,58.62,7
BetUS,13,56.52,10,43.48,5
BetOnline.ag,11,45.83,13,54.17,6
LowVig.ag,11,45.83,13,54.17,6
FanDuel,9,47.37,10,52.63,6
BetRivers,12,80.0,3,20.0,6
BetMGM,7,43.75,9,56.25,6
MyBookie.ag,4,40.0,6,60.0,5
Fanatics,4,40.0,6,60.0,5
Caesars,4,66.67,2,33.33,4

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250410.0,Adelaide Crows,Geelong Cats,100.0,119.0,Completed,9cbd64f90b28d56b6a43228ac6edebc0,2025-04-10 05:40:00,1.588,2.35,DraftKings,2025-04-09 23:36:30
AFL,20250410.0,Adelaide Crows,Geelong Cats,100.0,119.0,Completed,9cbd64f90b28d56b6a43228ac6edebc0,2025-04-10 05:40:00,1.571,2.35,Bovada,2025-04-09 23:36:30
AFL,20250410.0,Adelaide Crows,Geelong Cats,100.0,119.0,Completed,9cbd64f90b28d56b6a43228ac6edebc0,2025-04-10 05:40:00,1.588,2.4,BetUS,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,ASVEL Lyon Villeurbanne,AS Monaco,78.0,83.0,Completed,5ad1ad4a906f5a5d1ae2aac930af1c91,2025-04-10 14:00:00,2.85,1.444,DraftKings,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,ASVEL Lyon Villeurbanne,AS Monaco,78.0,83.0,Completed,5ad1ad4a906f5a5d1ae2aac930af1c91,2025-04-10 14:00:00,2.69,1.437,BetUS,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,ASVEL Lyon Villeurbanne,AS Monaco,78.0,83.0,Completed,5ad1ad4a906f5a5d1ae2aac930af1c91,2025-04-10 14:00:00,2.85,1.444,Bovada,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,ASVEL Lyon Villeurbanne,AS Monaco,78.0,83.0,Completed,5ad1ad4a906f5a5d1ae2aac930af1c91,2025-04-10 14:00:00,2.86,1.463,BetOnline.ag,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,ASVEL Lyon Villeurbanne,AS Monaco,78.0,83.0,Completed,5ad1ad4a906f5a5d1ae2aac930af1c91,2025-04-10 14:00:00,2.77,1.483,LowVig.ag,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,FC Bayern München,Fenerbahce SK,77.0,89.0,Completed,d15b0d261012c1382f7ab21748e6e4cd,2025-04-10 14:00:00,1.98,1.847,DraftKings,2025-04-09 23:36:30
Basketball Euroleague,20250410.0,FC Bayern München,Fenerbahce SK,77.0,89.0,Completed,d15b0d261012c1382f7ab21748e6e4cd,2025-04-10 14:00:00,1.909,1.909,Bovada,2025-04-09 23:36:30
