Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
FanDuel,8,44.44,10,55.56,2
BetMGM,8,47.06,9,52.94,2
Bovada,8,44.44,10,55.56,2
BetRivers,8,50.0,8,50.0,2
BetOnline.ag,8,44.44,10,55.56,2
LowVig.ag,8,44.44,10,55.56,2
DraftKings,8,44.44,10,55.56,2
BetUS,4,30.77,9,69.23,2
MyBookie.ag,3,60.0,2,40.0,2
Fanatics,3,60.0,2,40.0,2
Caesars,3,75.0,1,25.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.75,2.55,FanDuel,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.7,2.5,BetMGM,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.7,2.55,Bovada,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.6,2.7,BetRivers,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.71,2.41,BetOnline.ag,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.71,2.41,LowVig.ag,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.75,2.55,DraftKings,2025-04-13 23:39:53
Championship,20250414,Hull City,Coventry City,1.0,1.0,Completed,59385105657c1881ab801e0263ca4187,2025-04-14 15:00:00,2.7,2.55,BetUS,2025-04-13 23:39:53
Denmark Superliga,20250414,SonderjyskE,Vejle Boldklub,1.0,0.0,Completed,61a42b16a7bcb554bfd45168520b9d12,2025-04-14 13:00:00,2.4,2.75,FanDuel,2025-04-13 23:39:53
Denmark Superliga,20250414,SonderjyskE,Vejle Boldklub,1.0,0.0,Completed,61a42b16a7bcb554bfd45168520b9d12,2025-04-14 13:00:00,2.45,2.75,Bovada,2025-04-13 23:39:53
Denmark Superliga,20250414,SonderjyskE,Vejle Boldklub,1.0,0.0,Completed,61a42b16a7bcb554bfd45168520b9d12,2025-04-14 13:00:00,2.45,2.8,DraftKings,2025-04-13 23:39:53
