Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,7,35.0,13,65.0,9
Bovada,7,33.33,14,66.67,9
FanDuel,7,33.33,14,66.67,9
BetMGM,7,33.33,14,66.67,9
BetRivers,4,22.22,14,77.78,10
BetOnline.ag,7,33.33,14,66.67,9
LowVig.ag,7,33.33,14,66.67,9
BetUS,7,35.0,13,65.0,6
MyBookie.ag,3,42.86,4,57.14,2
Fanatics,2,33.33,4,66.67,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,,Geelong Cats,Hawthorn Hawks,,,,,2025-04-21 01:20:00,2.0,1.8,DraftKings,2025-04-20 23:44:25
AFL,,Geelong Cats,Hawthorn Hawks,,,,,2025-04-21 01:20:00,1.87,1.87,Bovada,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.909,4.3,FanDuel,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.952,4.1,BetMGM,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.833,4.5,BetRivers,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.952,4.1,Bovada,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.952,4.2,DraftKings,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.926,3.75,BetOnline.ag,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.926,3.75,LowVig.ag,2025-04-20 23:44:25
Championship,20250421.0,Burnley,Sheffield United,2.0,1.0,Completed,3282f253ff58eec497052338262860fe,2025-04-21 12:30:00,1.952,4.05,BetUS,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.909,4.4,FanDuel,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.909,4.1,BetMGM,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.855,4.2,BetRivers,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.909,4.1,Bovada,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.909,4.3,DraftKings,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.877,3.75,BetOnline.ag,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.877,3.75,LowVig.ag,2025-04-20 23:44:25
Championship,,Cardiff City,Oxford United,,,,,2025-04-21 10:00:00,1.877,3.75,BetUS,2025-04-20 23:44:25
