Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
FanDuel,8,38.1,13,61.9,3
Bovada,11,40.74,16,59.26,7
BetRivers,8,34.78,15,65.22,4
BetMGM,7,36.84,12,63.16,3
DraftKings,8,34.78,15,65.22,6
BetOnline.ag,11,39.29,17,60.71,6
LowVig.ag,11,39.29,17,60.71,6
BetUS,11,40.74,16,59.26,6
MyBookie.ag,1,25.0,3,75.0,3
Fanatics,1,25.0,3,75.0,3
Caesars,0,0.0,3,100.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.6,2.55,FanDuel,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.7,2.7,Bovada,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.48,2.65,BetRivers,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.65,2.65,BetMGM,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.7,2.7,DraftKings,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.67,2.65,BetOnline.ag,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.67,2.65,LowVig.ag,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,Austria Wien,Sturm Graz,2.0,1.0,Completed,e2717afcbbf21880c7344a05ed390477,2025-04-23 14:30:00,2.67,2.65,BetUS,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.7,1.952,FanDuel,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.8,1.952,Bovada,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.55,1.943,BetRivers,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.8,2.0,DraftKings,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.6,1.962,BetOnline.ag,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.6,1.962,LowVig.ag,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,FC Blau-Weiß Linz,Rapid Wien,2.0,1.0,Completed,c0e984b12748e0efe4c94b4878a58ed4,2025-04-23 12:30:00,3.88,1.935,BetUS,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.667,4.5,FanDuel,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.714,4.4,Bovada,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.629,4.5,BetRivers,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.69,4.4,BetMGM,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.69,4.5,DraftKings,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.699,4.25,BetOnline.ag,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.699,4.25,LowVig.ag,2025-04-22 23:38:15
Austrian Football Bundesliga,20250423,RB Salzburg,Wolfsberger AC,1.0,1.0,Completed,0f3d91b01e80871ca8dee67a7b9ec131,2025-04-23 12:30:00,1.699,4.25,BetUS,2025-04-22 23:38:15
Basketball Euroleague,20250423,AS Monaco,FC Barcelona Bàsquet,97.0,80.0,Completed,37e6d541eee1b43f81b092d0cf7941c9,2025-04-23 13:00:00,1.435,2.9,DraftKings,2025-04-22 23:38:15
Basketball Euroleague,20250423,AS Monaco,FC Barcelona Bàsquet,97.0,80.0,Completed,37e6d541eee1b43f81b092d0cf7941c9,2025-04-23 13:00:00,1.455,2.9,BetOnline.ag,2025-04-22 23:38:15
Basketball Euroleague,20250423,AS Monaco,FC Barcelona Bàsquet,97.0,80.0,Completed,37e6d541eee1b43f81b092d0cf7941c9,2025-04-23 13:00:00,1.455,2.9,LowVig.ag,2025-04-22 23:38:15
Basketball Euroleague,20250423,AS Monaco,FC Barcelona Bàsquet,97.0,80.0,Completed,37e6d541eee1b43f81b092d0cf7941c9,2025-04-23 13:00:00,1.444,2.85,Bovada,2025-04-22 23:38:15
Basketball Euroleague,20250423,AS Monaco,FC Barcelona Bàsquet,97.0,80.0,Completed,37e6d541eee1b43f81b092d0cf7941c9,2025-04-23 13:00:00,1.459,2.63,BetUS,2025-04-22 23:38:15
Basketball Euroleague,20250423,AS Monaco,FC Barcelona Bàsquet,,,Unknown,d405e5cf171ba3386486baf87c3896fb,2025-04-23 13:00:00,1.435,2.9,DraftKings,2025-04-22 23:38:15
