Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,6,42.86,8,57.14,6
Bovada,9,47.37,10,52.63,6
BetUS,8,47.06,9,52.94,6
LowVig.ag,8,47.06,9,52.94,6
BetOnline.ag,8,47.06,9,52.94,6
BetMGM,5,45.45,6,54.55,6
FanDuel,5,45.45,6,54.55,6
BetRivers,7,43.75,9,56.25,6
Fanatics,1,33.33,2,66.67,6
MyBookie.ag,2,66.67,1,33.33,6
Caesars,2,100.0,0,0.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250424,Melbourne Demons,Richmond Tigers,83.0,63.0,Completed,2ead0e21e320d48390ff3f20ed2962e4,2025-04-24 05:30:00,1.303,3.45,DraftKings,2025-04-23 23:39:58
AFL,20250424,Melbourne Demons,Richmond Tigers,83.0,63.0,Completed,2ead0e21e320d48390ff3f20ed2962e4,2025-04-24 05:30:00,1.25,3.75,Bovada,2025-04-23 23:39:58
AFL,20250424,Melbourne Demons,Richmond Tigers,83.0,63.0,Completed,2ead0e21e320d48390ff3f20ed2962e4,2025-04-24 05:30:00,1.303,3.4,BetUS,2025-04-23 23:39:58
Basketball Euroleague,20250424,Fenerbahce SK,Paris Basketball,89.0,72.0,Completed,de77f4600056013f5a2c62ce94ec7136,2025-04-24 13:45:00,1.4,3.05,DraftKings,2025-04-23 23:39:58
Basketball Euroleague,20250424,Fenerbahce SK,Paris Basketball,89.0,72.0,Completed,de77f4600056013f5a2c62ce94ec7136,2025-04-24 13:45:00,1.377,3.25,LowVig.ag,2025-04-23 23:39:58
Basketball Euroleague,20250424,Fenerbahce SK,Paris Basketball,89.0,72.0,Completed,de77f4600056013f5a2c62ce94ec7136,2025-04-24 13:45:00,1.377,3.25,BetOnline.ag,2025-04-23 23:39:58
Basketball Euroleague,20250424,Fenerbahce SK,Paris Basketball,89.0,72.0,Completed,de77f4600056013f5a2c62ce94ec7136,2025-04-24 13:45:00,1.385,3.1,Bovada,2025-04-23 23:39:58
Basketball Euroleague,20250424,Panathinaikos,Anadolu Efes,76.0,79.0,Completed,7081bfd0c3059b168e08810a23d5f6a4,2025-04-24 14:30:00,1.4,3.05,DraftKings,2025-04-23 23:39:58
Basketball Euroleague,20250424,Panathinaikos,Anadolu Efes,76.0,79.0,Completed,7081bfd0c3059b168e08810a23d5f6a4,2025-04-24 14:30:00,1.413,3.02,BetOnline.ag,2025-04-23 23:39:58
Basketball Euroleague,20250424,Panathinaikos,Anadolu Efes,76.0,79.0,Completed,7081bfd0c3059b168e08810a23d5f6a4,2025-04-24 14:30:00,1.413,3.02,LowVig.ag,2025-04-23 23:39:58
Basketball Euroleague,20250424,Panathinaikos,Anadolu Efes,76.0,79.0,Completed,7081bfd0c3059b168e08810a23d5f6a4,2025-04-24 14:30:00,1.385,3.1,Bovada,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.87,3.9,BetMGM,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.8,3.9,FanDuel,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.909,3.95,DraftKings,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.87,3.9,Bovada,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.862,3.55,BetOnline.ag,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.862,3.55,LowVig.ag,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.847,4.0,BetRivers,2025-04-23 23:39:58
Belgium First Div,20250424,Club Brugge,Union Saint-Gilloise,0.0,1.0,Completed,665ab51fe2ae6010dde007184ad7ef18,2025-04-24 14:30:00,1.909,4.0,BetUS,2025-04-23 23:39:58
Copa Libertadores,20250424,Bahia,Atlético Nacional S.A,1.0,0.0,Completed,822baaeb11fefb3a859b5545fb615617,2025-04-24 20:00:00,1.87,4.2,Bovada,2025-04-23 23:39:58
Copa Libertadores,20250424,Bahia,Atlético Nacional S.A,1.0,0.0,Completed,822baaeb11fefb3a859b5545fb615617,2025-04-24 20:00:00,1.82,4.35,BetRivers,2025-04-23 23:39:58
Copa Libertadores,20250424,Bahia,Atlético Nacional S.A,1.0,0.0,Completed,822baaeb11fefb3a859b5545fb615617,2025-04-24 20:00:00,1.87,4.0,LowVig.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Bahia,Atlético Nacional S.A,1.0,0.0,Completed,822baaeb11fefb3a859b5545fb615617,2025-04-24 20:00:00,1.87,4.0,BetOnline.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Bahia,Atlético Nacional S.A,1.0,0.0,Completed,822baaeb11fefb3a859b5545fb615617,2025-04-24 20:00:00,1.87,4.0,BetUS,2025-04-23 23:39:58
Copa Libertadores,20250424,Central Córdoba,Deportivo Táchira,2.0,1.0,Completed,5e0be8482e44d8f5019b5ecedefab3cb,2025-04-24 18:00:00,1.345,9.25,Bovada,2025-04-23 23:39:58
Copa Libertadores,20250424,Central Córdoba,Deportivo Táchira,2.0,1.0,Completed,5e0be8482e44d8f5019b5ecedefab3cb,2025-04-24 18:00:00,1.299,11.0,BetRivers,2025-04-23 23:39:58
Copa Libertadores,20250424,Central Córdoba,Deportivo Táchira,2.0,1.0,Completed,5e0be8482e44d8f5019b5ecedefab3cb,2025-04-24 18:00:00,1.345,9.45,BetOnline.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Central Córdoba,Deportivo Táchira,2.0,1.0,Completed,5e0be8482e44d8f5019b5ecedefab3cb,2025-04-24 18:00:00,1.345,9.45,LowVig.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Central Córdoba,Deportivo Táchira,2.0,1.0,Completed,5e0be8482e44d8f5019b5ecedefab3cb,2025-04-24 18:00:00,1.351,9.54,BetUS,2025-04-23 23:39:58
Copa Libertadores,20250424,Cerro Porteño,Sporting Cristal,2.0,2.0,Completed,e5f52c3535d21b1fde02bb94f777a038,2025-04-24 20:30:00,1.714,4.9,Bovada,2025-04-23 23:39:58
Copa Libertadores,20250424,Cerro Porteño,Sporting Cristal,2.0,2.0,Completed,e5f52c3535d21b1fde02bb94f777a038,2025-04-24 20:30:00,1.699,5.0,BetRivers,2025-04-23 23:39:58
Copa Libertadores,20250424,Cerro Porteño,Sporting Cristal,2.0,2.0,Completed,e5f52c3535d21b1fde02bb94f777a038,2025-04-24 20:30:00,1.667,4.8,LowVig.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Cerro Porteño,Sporting Cristal,2.0,2.0,Completed,e5f52c3535d21b1fde02bb94f777a038,2025-04-24 20:30:00,1.667,4.8,BetOnline.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Cerro Porteño,Sporting Cristal,2.0,2.0,Completed,e5f52c3535d21b1fde02bb94f777a038,2025-04-24 20:30:00,1.667,4.8,BetUS,2025-04-23 23:39:58
Copa Libertadores,20250424,Club Bolívar,Palmeiras-SP,2.0,3.0,Completed,a2b813687a0abfede06d32815f32c253,2025-04-24 18:00:00,1.952,3.75,Bovada,2025-04-23 23:39:58
Copa Libertadores,20250424,Club Bolívar,Palmeiras-SP,2.0,3.0,Completed,a2b813687a0abfede06d32815f32c253,2025-04-24 18:00:00,1.943,3.9,BetRivers,2025-04-23 23:39:58
Copa Libertadores,20250424,Club Bolívar,Palmeiras-SP,2.0,3.0,Completed,a2b813687a0abfede06d32815f32c253,2025-04-24 18:00:00,1.909,4.05,BetOnline.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Club Bolívar,Palmeiras-SP,2.0,3.0,Completed,a2b813687a0abfede06d32815f32c253,2025-04-24 18:00:00,1.909,4.05,LowVig.ag,2025-04-23 23:39:58
Copa Libertadores,20250424,Club Bolívar,Palmeiras-SP,2.0,3.0,Completed,a2b813687a0abfede06d32815f32c253,2025-04-24 18:00:00,1.909,4.05,BetUS,2025-04-23 23:39:58
Dutch Eredivisie,20250424,AZ Alkmaar,NAC Breda,1.0,1.0,Completed,53f3a593fd22a1cbb695271f3e8746a0,2025-04-24 12:45:00,1.357,7.0,FanDuel,2025-04-23 23:39:58
Dutch Eredivisie,20250424,AZ Alkmaar,NAC Breda,1.0,1.0,Completed,53f3a593fd22a1cbb695271f3e8746a0,2025-04-24 12:45:00,1.417,7.0,Bovada,2025-04-23 23:39:58
Dutch Eredivisie,20250424,AZ Alkmaar,NAC Breda,1.0,1.0,Completed,53f3a593fd22a1cbb695271f3e8746a0,2025-04-24 12:45:00,1.377,7.5,BetRivers,2025-04-23 23:39:58
Dutch Eredivisie,20250424,AZ Alkmaar,NAC Breda,1.0,1.0,Completed,53f3a593fd22a1cbb695271f3e8746a0,2025-04-24 12:45:00,1.426,7.0,DraftKings,2025-04-23 23:39:58
Dutch Eredivisie,20250424,AZ Alkmaar,NAC Breda,1.0,1.0,Completed,53f3a593fd22a1cbb695271f3e8746a0,2025-04-24 12:45:00,1.426,7.0,BetMGM,2025-04-23 23:39:58
Dutch Eredivisie,20250424,AZ Alkmaar,NAC Breda,1.0,1.0,Completed,53f3a593fd22a1cbb695271f3e8746a0,2025-04-24 12:45:00,1.41,6.4,LowVig.ag,2025-04-23 23:39:58
