Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,19,44.19,24,55.81,8
LowVig.ag,19,50.0,19,50.0,7
BetOnline.ag,19,50.0,19,50.0,7
DraftKings,19,48.72,20,51.28,8
BetUS,17,44.74,21,55.26,8
BetRivers,19,52.78,17,47.22,6
BetMGM,19,55.88,15,44.12,7
FanDuel,19,55.88,15,44.12,7
Fanatics,2,66.67,1,33.33,5
MyBookie.ag,2,66.67,1,33.33,6
Caesars,2,66.67,1,33.33,6

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250425.0,Hansa Rostock,TSV 1860 München,1.0,0.0,Completed,937149793f924bf4179f68403f984c38,2025-04-25 13:00:00,2.25,3.15,Bovada,2025-04-24 23:38:59
3. Liga - Germany,20250425.0,Hansa Rostock,TSV 1860 München,1.0,0.0,Completed,937149793f924bf4179f68403f984c38,2025-04-25 13:00:00,2.19,3.0,LowVig.ag,2025-04-24 23:38:59
3. Liga - Germany,20250425.0,Hansa Rostock,TSV 1860 München,1.0,0.0,Completed,937149793f924bf4179f68403f984c38,2025-04-25 13:00:00,2.19,3.0,BetOnline.ag,2025-04-24 23:38:59
A-League,20250425.0,Macarthur FC,Melbourne Victory,1.0,2.0,Completed,770c8f7567fea01670617fa991f1224c,2025-04-25 05:35:00,3.05,2.1,Bovada,2025-04-24 23:38:59
A-League,20250425.0,Macarthur FC,Melbourne Victory,1.0,2.0,Completed,770c8f7567fea01670617fa991f1224c,2025-04-25 05:35:00,3.05,2.1,DraftKings,2025-04-24 23:38:59
A-League,20250425.0,Macarthur FC,Melbourne Victory,1.0,2.0,Completed,770c8f7567fea01670617fa991f1224c,2025-04-25 05:35:00,3.12,2.12,LowVig.ag,2025-04-24 23:38:59
A-League,20250425.0,Macarthur FC,Melbourne Victory,1.0,2.0,Completed,770c8f7567fea01670617fa991f1224c,2025-04-25 05:35:00,3.12,2.12,BetOnline.ag,2025-04-24 23:38:59
A-League,20250425.0,Macarthur FC,Melbourne Victory,1.0,2.0,Completed,770c8f7567fea01670617fa991f1224c,2025-04-25 05:35:00,3.05,2.1,BetUS,2025-04-24 23:38:59
AFL,20250425.0,Collingwood Magpies,Essendon Bombers,107.0,66.0,Completed,d7ffbbc4df53a740be82f07a7dc4c3f9,2025-04-25 01:20:00,1.256,3.85,DraftKings,2025-04-24 23:38:59
AFL,20250425.0,Collingwood Magpies,Essendon Bombers,107.0,66.0,Completed,d7ffbbc4df53a740be82f07a7dc4c3f9,2025-04-25 01:20:00,1.308,3.3,Bovada,2025-04-24 23:38:59
AFL,20250425.0,Collingwood Magpies,Essendon Bombers,107.0,66.0,Completed,d7ffbbc4df53a740be82f07a7dc4c3f9,2025-04-25 01:20:00,1.278,3.6,BetUS,2025-04-24 23:38:59
AFL,20250425.0,Fremantle Dockers,Adelaide Crows,85.0,67.0,Completed,05d223ab06080c380f76c15205eaa446,2025-04-25 06:10:00,1.714,2.1,DraftKings,2025-04-24 23:38:59
AFL,20250425.0,Fremantle Dockers,Adelaide Crows,85.0,67.0,Completed,05d223ab06080c380f76c15205eaa446,2025-04-25 06:10:00,1.69,2.1,Bovada,2025-04-24 23:38:59
AFL,20250425.0,Fremantle Dockers,Adelaide Crows,85.0,67.0,Completed,05d223ab06080c380f76c15205eaa446,2025-04-25 06:10:00,1.714,2.1,BetUS,2025-04-24 23:38:59
AFL,20250425.0,St Kilda Saints,Brisbane Lions,,,Unknown,429773b4c421650ca864ded33a7ce31b,2025-04-25 23:20:00,2.75,1.444,DraftKings,2025-04-24 23:38:59
AFL,20250425.0,St Kilda Saints,Brisbane Lions,,,Unknown,429773b4c421650ca864ded33a7ce31b,2025-04-25 23:20:00,2.5,1.5,Bovada,2025-04-24 23:38:59
AFL,20250425.0,St Kilda Saints,Brisbane Lions,,,Unknown,429773b4c421650ca864ded33a7ce31b,2025-04-25 23:20:00,2.7,1.476,BetUS,2025-04-24 23:38:59
Austrian Football Bundesliga,20250425.0,Hartberg,Grazer AK,1.0,1.0,Completed,e989710062ce71a81d8d9800bc82c239,2025-04-25 13:30:00,1.935,3.65,BetRivers,2025-04-24 23:38:59
Austrian Football Bundesliga,20250425.0,Hartberg,Grazer AK,1.0,1.0,Completed,e989710062ce71a81d8d9800bc82c239,2025-04-25 13:30:00,2.05,3.4,BetMGM,2025-04-24 23:38:59
Austrian Football Bundesliga,20250425.0,Hartberg,Grazer AK,1.0,1.0,Completed,e989710062ce71a81d8d9800bc82c239,2025-04-25 13:30:00,2.0,3.4,FanDuel,2025-04-24 23:38:59
Austrian Football Bundesliga,20250425.0,Hartberg,Grazer AK,1.0,1.0,Completed,e989710062ce71a81d8d9800bc82c239,2025-04-25 13:30:00,2.1,3.35,Bovada,2025-04-24 23:38:59
Austrian Football Bundesliga,20250425.0,Hartberg,Grazer AK,1.0,1.0,Completed,e989710062ce71a81d8d9800bc82c239,2025-04-25 13:30:00,2.1,3.5,DraftKings,2025-04-24 23:38:59
