Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
FanDuel,8,47.06,9,52.94,3
DraftKings,7,41.18,10,58.82,4
BetRivers,7,50.0,7,50.0,3
BetOnline.ag,7,41.18,10,58.82,3
LowVig.ag,7,41.18,10,58.82,3
Bovada,7,41.18,10,58.82,3
BetMGM,7,41.18,10,58.82,3
BetUS,5,45.45,6,54.55,3
Fanatics,0,0.0,2,100.0,2
MyBookie.ag,0,0.0,2,100.0,2
Caesars,0,0.0,2,100.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.541,5.8,FanDuel,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.556,5.75,DraftKings,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.538,5.6,BetRivers,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.541,5.65,BetOnline.ag,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.541,5.65,LowVig.ag,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.571,5.6,Bovada,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.541,5.75,BetMGM,2025-04-27 23:43:14
Championship,20250428.0,Leeds United,Bristol City,4.0,0.0,Completed,41ddfec58735740106cbbbf4bc07d692,2025-04-28 15:00:00,1.541,5.65,BetUS,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.32,2.9,BetRivers,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.25,2.9,FanDuel,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.4,2.9,DraftKings,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.3,2.85,BetMGM,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.35,2.9,Bovada,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.36,2.94,LowVig.ag,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.36,2.94,BetOnline.ag,2025-04-27 23:43:14
Denmark Superliga,20250428.0,AaB,Vejle Boldklub,0.0,1.0,Completed,ec8fc07fdd42a0bfe791c00d0fbb06e4,2025-04-28 13:00:00,2.35,2.9,BetUS,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.217,12.0,FanDuel,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.286,10.0,DraftKings,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.267,9.5,BetMGM,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.29,9.75,Bovada,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.29,9.75,BetUS,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.27,9.3,LowVig.ag,2025-04-27 23:43:14
La Liga 2 - Spain,20250428.0,Almería,Racing de Ferrol,,,Unknown,057b37f24f442309e2c29f14342a0758,2025-04-28 14:30:00,1.27,9.3,BetOnline.ag,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.602,2.38,FanDuel,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.588,2.42,DraftKings,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.571,2.45,Fanatics,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.606,2.35,BetMGM,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.571,2.45,BetRivers,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.606,2.46,LowVig.ag,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.606,2.45,BetOnline.ag,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.571,2.5,Bovada,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.585,2.38,MyBookie.ag,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.588,2.43,Caesars,2025-04-27 23:43:14
NBA,20250428.0,Golden State Warriors,Houston Rockets,,,Unknown,a8e5f48bdd920b6bcabd4414b6260f9e,2025-04-28 22:00:00,1.606,2.42,BetUS,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,4.1,1.256,FanDuel,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,3.95,1.267,DraftKings,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,4.0,1.267,Fanatics,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,4.03,1.263,BetOnline.ag,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,4.08,1.266,LowVig.ag,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,3.9,1.267,BetMGM,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,4.0,1.25,MyBookie.ag,2025-04-27 23:43:14
NBA,20250428.0,Miami Heat,Cleveland Cavaliers,83.0,138.0,Completed,32d285715ef87d49b04641e1d07538fd,2025-04-28 19:35:00,3.95,1.256,Bovada,2025-04-27 23:43:14
