Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,5,45.45,6,54.55,4
Bovada,5,45.45,6,54.55,4
BetOnline.ag,5,45.45,6,54.55,4
LowVig.ag,5,45.45,6,54.55,4
FanDuel,4,44.44,5,55.56,3
BetRivers,4,44.44,5,55.56,4
BetMGM,4,44.44,5,55.56,3
BetUS,4,57.14,3,42.86,3
Fanatics,3,50.0,3,50.0,3
MyBookie.ag,2,40.0,3,60.0,3
Caesars,2,40.0,3,60.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Basketball Euroleague,20250429,Paris Basketball,Fenerbahce SK,88.0,98.0,Completed,05424eb9851fc2ba18ba0e683858b151,2025-04-29 14:30:00,1.847,1.98,DraftKings,2025-04-28 23:39:30
Basketball Euroleague,20250429,Paris Basketball,Fenerbahce SK,88.0,98.0,Completed,05424eb9851fc2ba18ba0e683858b151,2025-04-29 14:30:00,1.833,2.0,Bovada,2025-04-28 23:39:30
Basketball Euroleague,20250429,Paris Basketball,Fenerbahce SK,88.0,98.0,Completed,05424eb9851fc2ba18ba0e683858b151,2025-04-29 14:30:00,1.847,1.98,BetOnline.ag,2025-04-28 23:39:30
Basketball Euroleague,20250429,Paris Basketball,Fenerbahce SK,88.0,98.0,Completed,05424eb9851fc2ba18ba0e683858b151,2025-04-29 14:30:00,1.847,1.98,LowVig.ag,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,80.0,72.0,Completed,2afd9e74a3e212a37012a1d9f92347d3,2025-04-29 15:00:00,1.704,2.2,DraftKings,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,80.0,72.0,Completed,2afd9e74a3e212a37012a1d9f92347d3,2025-04-29 15:00:00,1.69,2.2,Bovada,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,80.0,72.0,Completed,2afd9e74a3e212a37012a1d9f92347d3,2025-04-29 15:00:00,1.69,2.25,BetOnline.ag,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,80.0,72.0,Completed,2afd9e74a3e212a37012a1d9f92347d3,2025-04-29 15:00:00,1.69,2.25,LowVig.ag,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,,,Unknown,e77c97e6b3f1928c1671d80068b01c02,2025-04-29 15:00:00,1.704,2.2,DraftKings,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,,,Unknown,e77c97e6b3f1928c1671d80068b01c02,2025-04-29 15:00:00,1.69,2.2,Bovada,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,,,Unknown,e77c97e6b3f1928c1671d80068b01c02,2025-04-29 15:00:00,1.69,2.25,BetOnline.ag,2025-04-28 23:39:30
Basketball Euroleague,20250429,Real Madrid,Olympiacos,,,Unknown,e77c97e6b3f1928c1671d80068b01c02,2025-04-29 15:00:00,1.69,2.25,LowVig.ag,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.3,FanDuel,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.35,DraftKings,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.3,Bovada,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.1,3.3,BetRivers,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.25,BetMGM,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.3,BetUS,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.2,LowVig.ag,2025-04-28 23:39:30
League 1,20250429,Burton Albion,Wigan Athletic,1.0,1.0,Completed,b1d970ef0aaad2efa211f41a75d69a89,2025-04-29 14:45:00,2.2,3.2,BetOnline.ag,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.161,5.6,FanDuel,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.154,5.7,DraftKings,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.143,5.75,Fanatics,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.154,5.75,BetMGM,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.169,5.56,LowVig.ag,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.167,5.46,BetOnline.ag,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.133,6.0,Bovada,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.16,5.36,MyBookie.ag,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.16,5.6,BetRivers,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.154,5.6,Caesars,2025-04-28 23:39:30
NBA,20250429,Boston Celtics,Orlando Magic,120.0,89.0,Completed,cb6833ff56f57c6976ff613b5956fc2e,2025-04-29 20:35:00,1.143,6.0,BetUS,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.02,1.82,DraftKings,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,BetOnline.ag,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.12,1.781,LowVig.ag,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.05,1.769,BetMGM,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,Fanatics,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.04,1.787,MyBookie.ag,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,FanDuel,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,Caesars,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,BetRivers,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,Bovada,2025-04-28 23:39:30
NBA,20250429,Denver Nuggets,Los Angeles Clippers,,,Unknown,c9b1aeff36a750b0da0cd84d27f3f07e,2025-04-29 22:05:00,2.1,1.769,BetUS,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.294,3.75,FanDuel,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.294,3.7,DraftKings,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.286,3.6,Fanatics,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.308,3.6,BetMGM,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.312,3.6,BetOnline.ag,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.315,3.63,LowVig.ag,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.319,3.44,MyBookie.ag,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.294,3.7,Bovada,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.299,3.7,BetRivers,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.286,3.75,Caesars,2025-04-28 23:39:30
NBA,20250429,Indiana Pacers,Milwaukee Bucks,119.0,118.0,Completed,77d182acedfaf699262ad3044c42006f,2025-04-29 18:05:00,1.286,3.8,BetUS,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.444,2.85,DraftKings,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.444,2.89,BetOnline.ag,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.448,2.91,LowVig.ag,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.476,2.75,Fanatics,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.435,2.9,FanDuel,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.455,2.8,Bovada,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.441,2.8,MyBookie.ag,2025-04-28 23:39:30
NBA,20250429,New York Knicks,Detroit Pistons,103.0,106.0,Completed,ba7255619a1f97a9977062123b5bccb3,2025-04-29 19:35:00,1.455,2.8,BetMGM,2025-04-28 23:39:30
