Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,10,45.45,12,54.55,3
Bovada,10,45.45,12,54.55,3
BetUS,9,47.37,10,52.63,3
LowVig.ag,10,47.62,11,52.38,3
BetOnline.ag,10,47.62,11,52.38,4
FanDuel,9,45.0,11,55.0,4
BetRivers,9,50.0,9,50.0,3
MyBookie.ag,3,75.0,1,25.0,3
Fanatics,3,75.0,1,25.0,3
BetMGM,1,100.0,0,0.0,2
Caesars,2,66.67,1,33.33,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250501.0,Essendon Bombers,North Melbourne Kangaroos,65.0,62.0,Completed,0cf84e921d5ed9c153deb0e71b28c497,2025-05-01 05:30:00,1.408,2.9,DraftKings,2025-04-30 23:49:03
AFL,20250501.0,Essendon Bombers,North Melbourne Kangaroos,65.0,62.0,Completed,0cf84e921d5ed9c153deb0e71b28c497,2025-05-01 05:30:00,1.351,3.1,Bovada,2025-04-30 23:49:03
AFL,20250501.0,Essendon Bombers,North Melbourne Kangaroos,65.0,62.0,Completed,0cf84e921d5ed9c153deb0e71b28c497,2025-05-01 05:30:00,1.455,2.8,BetUS,2025-04-30 23:49:03
Basketball Euroleague,20250501.0,Real Madrid,Olympiacos,84.0,86.0,Completed,e77c97e6b3f1928c1671d80068b01c02,2025-05-01 15:00:00,1.704,2.2,DraftKings,2025-04-30 23:49:03
Basketball Euroleague,20250501.0,Real Madrid,Olympiacos,84.0,86.0,Completed,e77c97e6b3f1928c1671d80068b01c02,2025-05-01 15:00:00,1.667,2.3,LowVig.ag,2025-04-30 23:49:03
Basketball Euroleague,20250501.0,Real Madrid,Olympiacos,84.0,86.0,Completed,e77c97e6b3f1928c1671d80068b01c02,2025-05-01 15:00:00,1.667,2.3,BetOnline.ag,2025-04-30 23:49:03
Basketball Euroleague,20250501.0,Real Madrid,Olympiacos,84.0,86.0,Completed,e77c97e6b3f1928c1671d80068b01c02,2025-05-01 15:00:00,1.69,2.2,Bovada,2025-04-30 23:49:03
Belgium First Div,20250501.0,Club Brugge,Gent,4.0,1.0,Completed,713fb1fe5e6167ff228704bab25a6d55,2025-05-01 10:00:00,1.217,10.5,FanDuel,2025-04-30 23:49:03
Belgium First Div,20250501.0,Club Brugge,Gent,4.0,1.0,Completed,713fb1fe5e6167ff228704bab25a6d55,2025-05-01 10:00:00,1.25,10.0,DraftKings,2025-04-30 23:49:03
Belgium First Div,20250501.0,Club Brugge,Gent,4.0,1.0,Completed,713fb1fe5e6167ff228704bab25a6d55,2025-05-01 10:00:00,1.23,11.0,BetRivers,2025-04-30 23:49:03
