Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,18,45.0,22,55.0,1
BetOnline.ag,17,45.95,20,54.05,1
LowVig.ag,17,45.95,20,54.05,1
DraftKings,18,48.65,19,51.35,2
BetUS,17,56.67,13,43.33,3
FanDuel,17,53.12,15,46.88,1
BetRivers,16,47.06,18,52.94,1
MyBookie.ag,0,0.0,2,100.0,1
BetMGM,0,0.0,1,100.0,1
Fanatics,0,0.0,1,100.0,1
Caesars,0,0.0,1,100.0,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250502.0,VfL Osnabrück,FC Viktoria Köln 1904,2.0,0.0,Completed,4b6a04c1abc14882599fff21d7cc1e63,2025-05-02 13:00:00,2.05,3.3,Bovada,2025-05-01 23:41:57
3. Liga - Germany,20250502.0,VfL Osnabrück,FC Viktoria Köln 1904,2.0,0.0,Completed,4b6a04c1abc14882599fff21d7cc1e63,2025-05-02 13:00:00,2.08,3.05,BetOnline.ag,2025-05-01 23:41:57
3. Liga - Germany,20250502.0,VfL Osnabrück,FC Viktoria Köln 1904,2.0,0.0,Completed,4b6a04c1abc14882599fff21d7cc1e63,2025-05-02 13:00:00,2.08,3.05,LowVig.ag,2025-05-01 23:41:57
A-League,20250502.0,Central Coast Mariners,Brisbane Roar,1.0,2.0,Completed,5e4bcaa05c0744b4ade60698ea3d5b1c,2025-05-02 05:35:00,2.85,2.3,DraftKings,2025-05-01 23:41:57
A-League,20250502.0,Central Coast Mariners,Brisbane Roar,1.0,2.0,Completed,5e4bcaa05c0744b4ade60698ea3d5b1c,2025-05-02 05:35:00,2.75,2.35,Bovada,2025-05-01 23:41:57
A-League,20250502.0,Central Coast Mariners,Brisbane Roar,1.0,2.0,Completed,5e4bcaa05c0744b4ade60698ea3d5b1c,2025-05-02 05:35:00,2.95,2.31,LowVig.ag,2025-05-01 23:41:57
A-League,20250502.0,Central Coast Mariners,Brisbane Roar,1.0,2.0,Completed,5e4bcaa05c0744b4ade60698ea3d5b1c,2025-05-02 05:35:00,2.95,2.31,BetOnline.ag,2025-05-01 23:41:57
A-League,20250502.0,Central Coast Mariners,Brisbane Roar,1.0,2.0,Completed,5e4bcaa05c0744b4ade60698ea3d5b1c,2025-05-02 05:35:00,2.75,2.35,BetUS,2025-05-01 23:41:57
A-League,20250502.0,Wellington Phoenix FC,Perth Glory,,,Unknown,91ce695bee721b16712bd8bc0c20c4ac,2025-05-02 03:30:00,2.15,2.95,BetUS,2025-05-01 23:41:57
AFL,20250502.0,St Kilda Saints,Fremantle Dockers,94.0,33.0,Completed,25d571b7b2351d7492332a9a43744e30,2025-05-02 05:40:00,2.15,1.69,DraftKings,2025-05-01 23:41:57
AFL,20250502.0,St Kilda Saints,Fremantle Dockers,94.0,33.0,Completed,25d571b7b2351d7492332a9a43744e30,2025-05-02 05:40:00,2.25,1.606,Bovada,2025-05-01 23:41:57
AFL,20250502.0,St Kilda Saints,Fremantle Dockers,94.0,33.0,Completed,25d571b7b2351d7492332a9a43744e30,2025-05-02 05:40:00,2.25,1.645,BetUS,2025-05-01 23:41:57
AFL,20250502.0,Western Bulldogs,Port Adelaide Power,,,Unknown,155e04bc831dd6d769da2d4ad45422d2,2025-05-02 23:20:00,1.37,3.05,DraftKings,2025-05-01 23:41:57
AFL,20250502.0,Western Bulldogs,Port Adelaide Power,,,Unknown,155e04bc831dd6d769da2d4ad45422d2,2025-05-02 23:20:00,1.385,3.1,BetUS,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.2,3.3,DraftKings,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.1,3.2,FanDuel,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.2,3.15,Bovada,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.12,3.25,BetRivers,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.2,3.15,BetUS,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.2,2.98,LowVig.ag,2025-05-01 23:41:57
Austrian Football Bundesliga,20250502.0,Grazer AK,Austria Klagenfurt,1.0,1.0,Completed,30b4ae625f91f6a1c6935431b9fffaa1,2025-05-02 13:30:00,2.2,2.98,BetOnline.ag,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,Anadolu Efes,Panathinaikos,85.0,82.0,Completed,5828e8e0e6da361b3dc3190eee88af8e,2025-05-02 13:30:00,1.741,2.14,DraftKings,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,Anadolu Efes,Panathinaikos,85.0,82.0,Completed,5828e8e0e6da361b3dc3190eee88af8e,2025-05-02 13:30:00,1.714,2.15,Bovada,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,Anadolu Efes,Panathinaikos,85.0,82.0,Completed,5828e8e0e6da361b3dc3190eee88af8e,2025-05-02 13:30:00,1.725,2.18,LowVig.ag,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,Anadolu Efes,Panathinaikos,85.0,82.0,Completed,5828e8e0e6da361b3dc3190eee88af8e,2025-05-02 13:30:00,1.725,2.18,BetOnline.ag,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,FC Barcelona Bàsquet,AS Monaco,79.0,72.0,Completed,0dba74068ab746e1420bb28910c433c0,2025-05-02 14:45:00,1.769,2.1,DraftKings,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,FC Barcelona Bàsquet,AS Monaco,79.0,72.0,Completed,0dba74068ab746e1420bb28910c433c0,2025-05-02 14:45:00,1.8,2.05,Bovada,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,FC Barcelona Bàsquet,AS Monaco,79.0,72.0,Completed,0dba74068ab746e1420bb28910c433c0,2025-05-02 14:45:00,1.833,2.0,LowVig.ag,2025-05-01 23:41:57
Basketball Euroleague,20250502.0,FC Barcelona Bàsquet,AS Monaco,79.0,72.0,Completed,0dba74068ab746e1420bb28910c433c0,2025-05-02 14:45:00,1.833,2.0,BetOnline.ag,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.571,4.7,FanDuel,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.645,4.6,DraftKings,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.645,4.7,Bovada,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.606,4.9,BetRivers,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.629,4.35,LowVig.ag,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.629,4.35,BetOnline.ag,2025-05-01 23:41:57
Belgium First Div,20250502.0,Westerlo,Dender,4.0,2.0,Completed,811f6389d929f52d5e777edf99e47b80,2025-05-02 14:45:00,1.645,4.7,BetUS,2025-05-01 23:41:57
Boxing,,Devin Haney,Jose Ramirez,,,,,2025-05-02 21:00:00,1.083,8.0,DraftKings,2025-05-01 23:41:57
Boxing,,Devin Haney,Jose Ramirez,,,,,2025-05-02 21:00:00,1.08,8.0,BetOnline.ag,2025-05-01 23:41:57
Boxing,,Devin Haney,Jose Ramirez,,,,,2025-05-02 21:00:00,1.08,8.0,LowVig.ag,2025-05-01 23:41:57
Boxing,,Devin Haney,Jose Ramirez,,,,,2025-05-02 21:00:00,1.111,6.5,BetUS,2025-05-01 23:41:57
Boxing,,Devin Haney,Jose Ramirez,,,,,2025-05-02 21:00:00,1.083,7.8,FanDuel,2025-05-01 23:41:57
