Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,48,43.24,63,56.76,3
LowVig.ag,48,45.28,58,54.72,1
BetOnline.ag,48,45.28,58,54.72,3
DraftKings,43,42.16,59,57.84,4
BetUS,40,42.11,55,57.89,5
FanDuel,40,43.01,53,56.99,3
BetRivers,38,40.43,56,59.57,4
MyBookie.ag,3,50.0,3,50.0,0
Fanatics,3,60.0,2,40.0,0
BetMGM,1,50.0,1,50.0,2
Caesars,1,50.0,1,50.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250503.0,1. FC Saarbrücken,SC Verl,4.0,3.0,Completed,b594007356f67120df7ecb8b0d47a946,2025-05-03 08:00:00,1.909,3.75,Bovada,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,1. FC Saarbrücken,SC Verl,4.0,3.0,Completed,b594007356f67120df7ecb8b0d47a946,2025-05-03 08:00:00,1.87,3.6,LowVig.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,1. FC Saarbrücken,SC Verl,4.0,3.0,Completed,b594007356f67120df7ecb8b0d47a946,2025-05-03 08:00:00,1.87,3.6,BetOnline.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,Arminia Bielefeld,Dynamo Dresden,1.0,1.0,Completed,f2d3d08cf06160fceb74f91153a38b00,2025-05-03 10:30:00,2.15,3.1,Bovada,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,Arminia Bielefeld,Dynamo Dresden,1.0,1.0,Completed,f2d3d08cf06160fceb74f91153a38b00,2025-05-03 10:30:00,2.11,2.94,BetOnline.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,Arminia Bielefeld,Dynamo Dresden,1.0,1.0,Completed,f2d3d08cf06160fceb74f91153a38b00,2025-05-03 10:30:00,2.11,2.94,LowVig.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,SV Sandhausen,Hansa Rostock,0.0,3.0,Completed,4c15b8a84a4a2fbb6ecce79282cae265,2025-05-03 08:00:00,3.35,2.05,Bovada,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,SV Sandhausen,Hansa Rostock,0.0,3.0,Completed,4c15b8a84a4a2fbb6ecce79282cae265,2025-05-03 08:00:00,3.2,1.99,LowVig.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,SV Sandhausen,Hansa Rostock,0.0,3.0,Completed,4c15b8a84a4a2fbb6ecce79282cae265,2025-05-03 08:00:00,3.2,1.99,BetOnline.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,TSV 1860 München,Rot-Weiss Essen,1.0,3.0,Completed,1b544266de4fa96c8dbe24009d1efb09,2025-05-03 08:00:00,2.35,2.8,Bovada,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,TSV 1860 München,Rot-Weiss Essen,1.0,3.0,Completed,1b544266de4fa96c8dbe24009d1efb09,2025-05-03 08:00:00,2.23,2.79,LowVig.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,TSV 1860 München,Rot-Weiss Essen,1.0,3.0,Completed,1b544266de4fa96c8dbe24009d1efb09,2025-05-03 08:00:00,2.23,2.79,BetOnline.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,VfB Stuttgart II,Alemannia Aachen,2.0,1.0,Completed,95ddcf30227b1928c48a5b83617a0e08,2025-05-03 08:00:00,2.9,2.4,Bovada,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,VfB Stuttgart II,Alemannia Aachen,2.0,1.0,Completed,95ddcf30227b1928c48a5b83617a0e08,2025-05-03 08:00:00,2.87,2.27,LowVig.ag,2025-05-02 23:38:23
3. Liga - Germany,20250503.0,VfB Stuttgart II,Alemannia Aachen,2.0,1.0,Completed,95ddcf30227b1928c48a5b83617a0e08,2025-05-03 08:00:00,2.87,2.27,BetOnline.ag,2025-05-02 23:38:23
