Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,2,40.0,3,60.0,3
BetOnline.ag,2,22.22,7,77.78,4
LowVig.ag,2,22.22,7,77.78,4
Bovada,2,25.0,6,75.0,4
BetUS,2,22.22,7,77.78,4
BetRivers,2,28.57,5,71.43,4
FanDuel,2,66.67,1,33.33,3
Fanatics,1,50.0,1,50.0,3
BetMGM,2,66.67,1,33.33,3
MyBookie.ag,1,50.0,1,50.0,3
Caesars,1,50.0,1,50.0,3

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Basketball Euroleague,20250506,AS Monaco,FC Barcelona Bàsquet,85.0,84.0,Completed,078e837ebedbbdeb468e58253e97f483,2025-05-06 13:00:00,1.488,2.7,DraftKings,2025-05-05 23:41:16
Basketball Euroleague,20250506,AS Monaco,FC Barcelona Bàsquet,85.0,84.0,Completed,078e837ebedbbdeb468e58253e97f483,2025-05-06 13:00:00,1.476,2.8,BetOnline.ag,2025-05-05 23:41:16
Basketball Euroleague,20250506,AS Monaco,FC Barcelona Bàsquet,85.0,84.0,Completed,078e837ebedbbdeb468e58253e97f483,2025-05-06 13:00:00,1.476,2.8,LowVig.ag,2025-05-05 23:41:16
Basketball Euroleague,20250506,AS Monaco,FC Barcelona Bàsquet,85.0,84.0,Completed,078e837ebedbbdeb468e58253e97f483,2025-05-06 13:00:00,1.465,2.75,Bovada,2025-05-05 23:41:16
Basketball Euroleague,20250506,AS Monaco,FC Barcelona Bàsquet,85.0,84.0,Completed,078e837ebedbbdeb468e58253e97f483,2025-05-06 13:00:00,1.476,2.55,BetUS,2025-05-05 23:41:16
Basketball Euroleague,20250506,Panathinaikos,Anadolu Efes,75.0,67.0,Completed,59d220f39db9a3bc285a7b2138a868a1,2025-05-06 14:45:00,1.377,3.15,DraftKings,2025-05-05 23:41:16
Basketball Euroleague,20250506,Panathinaikos,Anadolu Efes,75.0,67.0,Completed,59d220f39db9a3bc285a7b2138a868a1,2025-05-06 14:45:00,1.385,3.2,BetOnline.ag,2025-05-05 23:41:16
Basketball Euroleague,20250506,Panathinaikos,Anadolu Efes,75.0,67.0,Completed,59d220f39db9a3bc285a7b2138a868a1,2025-05-06 14:45:00,1.385,3.2,LowVig.ag,2025-05-05 23:41:16
Basketball Euroleague,20250506,Panathinaikos,Anadolu Efes,75.0,67.0,Completed,59d220f39db9a3bc285a7b2138a868a1,2025-05-06 14:45:00,1.351,3.25,Bovada,2025-05-05 23:41:16
Basketball Euroleague,20250506,Panathinaikos,Anadolu Efes,75.0,67.0,Completed,59d220f39db9a3bc285a7b2138a868a1,2025-05-06 14:45:00,1.361,2.92,BetUS,2025-05-05 23:41:16
Copa Libertadores,20250506,Alianza Lima,Sao Paulo,0.0,2.0,Completed,6afdfc4ac5acbab06b51a095e02bab07,2025-05-06 18:00:00,3.4,2.3,BetRivers,2025-05-05 23:41:16
