Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,33,49.25,34,50.75,2
BetOnline.ag,30,47.62,33,52.38,2
LowVig.ag,30,47.62,33,52.38,2
DraftKings,32,51.61,30,48.39,2
BetUS,30,53.57,26,46.43,2
FanDuel,28,47.46,31,52.54,2
BetRivers,28,50.0,28,50.0,2
BetMGM,29,52.73,26,47.27,2
MyBookie.ag,4,44.44,5,55.56,1
Fanatics,2,40.0,3,60.0,1
Caesars,1,25.0,3,75.0,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,20250511.0,FC Viktoria Köln 1904,Hannover 96,2.0,0.0,Completed,6524e22e36781899fc28a596dacc111c,2025-05-11 13:30:00,1.87,3.6,Bovada,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,FC Viktoria Köln 1904,Hannover 96,2.0,0.0,Completed,6524e22e36781899fc28a596dacc111c,2025-05-11 13:30:00,1.847,3.55,BetOnline.ag,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,FC Viktoria Köln 1904,Hannover 96,2.0,0.0,Completed,6524e22e36781899fc28a596dacc111c,2025-05-11 13:30:00,1.847,3.55,LowVig.ag,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,Rot-Weiss Essen,VfL Osnabrück,3.0,1.0,Completed,ba7e3147d8b5ec1a7e8d45f2cf227dbd,2025-05-11 10:30:00,2.25,2.95,Bovada,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,Rot-Weiss Essen,VfL Osnabrück,3.0,1.0,Completed,ba7e3147d8b5ec1a7e8d45f2cf227dbd,2025-05-11 10:30:00,2.14,2.93,LowVig.ag,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,Rot-Weiss Essen,VfL Osnabrück,3.0,1.0,Completed,ba7e3147d8b5ec1a7e8d45f2cf227dbd,2025-05-11 10:30:00,2.14,2.93,BetOnline.ag,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,SpVgg Unterhaching,Arminia Bielefeld,1.0,2.0,Completed,038bd444666b428307121991a10e08a8,2025-05-11 07:30:00,6.0,1.417,Bovada,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,SpVgg Unterhaching,Arminia Bielefeld,1.0,2.0,Completed,038bd444666b428307121991a10e08a8,2025-05-11 07:30:00,5.6,1.441,BetOnline.ag,2025-05-10 23:45:43
3. Liga - Germany,20250511.0,SpVgg Unterhaching,Arminia Bielefeld,1.0,2.0,Completed,038bd444666b428307121991a10e08a8,2025-05-11 07:30:00,5.6,1.441,LowVig.ag,2025-05-10 23:45:43
AFL,20250511.0,Geelong Cats,Greater Western Sydney Giants,101.0,105.0,Completed,129ef2cc835f674b285b5b68891dc708,2025-05-11 01:20:00,1.426,2.8,DraftKings,2025-05-10 23:45:43
AFL,20250511.0,Geelong Cats,Greater Western Sydney Giants,101.0,105.0,Completed,129ef2cc835f674b285b5b68891dc708,2025-05-11 01:20:00,1.4,2.85,Bovada,2025-05-10 23:45:43
AFL,20250511.0,Geelong Cats,Greater Western Sydney Giants,101.0,105.0,Completed,129ef2cc835f674b285b5b68891dc708,2025-05-11 01:20:00,1.417,3.0,BetUS,2025-05-10 23:45:43
AFL,20250511.0,North Melbourne Kangaroos,Brisbane Lions,71.0,71.0,Completed,16d9652d7c590828a0018f8101df4aa4,2025-05-11 02:40:00,7.0,1.083,DraftKings,2025-05-10 23:45:43
AFL,20250511.0,North Melbourne Kangaroos,Brisbane Lions,71.0,71.0,Completed,16d9652d7c590828a0018f8101df4aa4,2025-05-11 02:40:00,8.5,1.062,Bovada,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.1,3.2,Bovada,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.0,3.2,FanDuel,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.1,3.25,DraftKings,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.18,3.0,BetRivers,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.1,3.2,BetUS,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.08,3.1,LowVig.ag,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Austria Wien,Rapid Wien,1.0,2.0,Completed,51ac3e83d3647326848d1154471b002c,2025-05-11 11:00:00,2.08,3.1,BetOnline.ag,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.588,5.3,FanDuel,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.645,5.5,DraftKings,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.667,5.0,Bovada,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.676,4.6,BetRivers,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.625,5.25,BetMGM,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.662,5.73,BetUS,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.61,5.2,BetOnline.ag,2025-05-10 23:45:43
Austrian Football Bundesliga,20250511.0,Wolfsberger AC,FC Blau-Weiß Linz,2.0,0.0,Completed,64de7258e4951215a72bddb10ebc2857,2025-05-11 08:30:00,1.61,5.2,LowVig.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.5,2.7,DraftKings,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.45,2.55,FanDuel,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.5,2.65,BetMGM,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.4,2.7,BetRivers,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.45,2.7,Bovada,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.45,2.7,BetUS,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.44,2.6,LowVig.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Dender,Leuven,5.0,0.0,Completed,0110e571f3dc744691634aacd29c4fbf,2025-05-11 13:15:00,2.44,2.6,BetOnline.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.3,2.0,FanDuel,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.3,2.05,DraftKings,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.3,2.05,BetMGM,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.5,2.02,BetRivers,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.35,2.05,Bovada,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.5,1.952,LowVig.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.5,1.952,BetOnline.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Genk,Club Brugge,0.0,2.0,Completed,6059f2ea140ecfd6fe7eb30835a82897,2025-05-11 12:30:00,3.35,2.05,BetUS,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.5,2.5,FanDuel,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.5,2.65,DraftKings,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.5,2.6,BetMGM,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.45,2.6,Bovada,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.48,2.5,BetRivers,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.38,2.61,LowVig.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.38,2.61,BetOnline.ag,2025-05-10 23:45:43
Belgium First Div,20250511.0,Gent,Royal Antwerp,0.0,3.0,Completed,424037d99de7b950a5be2e8522c8345c,2025-05-11 07:30:00,2.38,2.61,BetUS,2025-05-10 23:45:43
Boxing,,Fernando Daniel Martinez,Kazuto Ioka,,,,,2025-05-11 02:00:00,1.267,3.69,BetOnline.ag,2025-05-10 23:45:43
Boxing,,Fernando Daniel Martinez,Kazuto Ioka,,,,,2025-05-11 02:00:00,1.278,3.55,Bovada,2025-05-10 23:45:43
Boxing,,Fernando Daniel Martinez,Kazuto Ioka,,,,,2025-05-11 02:00:00,1.278,3.6,BetUS,2025-05-10 23:45:43
Boxing,,Fernando Daniel Martinez,Kazuto Ioka,,,,,2025-05-11 02:00:00,1.267,3.69,LowVig.ag,2025-05-10 23:45:43
Boxing,,Fernando Daniel Martinez,Kazuto Ioka,,,,,2025-05-11 02:00:00,1.263,3.7,FanDuel,2025-05-10 23:45:43
Boxing,,Fernando Daniel Martinez,Kazuto Ioka,,,,,2025-05-11 02:00:00,1.25,3.8,BetRivers,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.6,2.35,FanDuel,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.6,2.45,BetMGM,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.6,2.35,DraftKings,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.65,2.4,Bovada,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.6,2.38,BetRivers,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.67,2.42,LowVig.ag,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.67,2.42,BetOnline.ag,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Bayer Leverkusen,Borussia Dortmund,2.0,4.0,Completed,87a208828a02d4de6bdd2391aaa91899,2025-05-11 09:30:00,2.65,2.4,BetUS,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Eintracht Frankfurt,FC St. Pauli,2.0,2.0,Completed,5dfbe085dd044348987779339b2df78c,2025-05-11 11:30:00,1.588,5.2,FanDuel,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Eintracht Frankfurt,FC St. Pauli,2.0,2.0,Completed,5dfbe085dd044348987779339b2df78c,2025-05-11 11:30:00,1.571,5.5,BetMGM,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Eintracht Frankfurt,FC St. Pauli,2.0,2.0,Completed,5dfbe085dd044348987779339b2df78c,2025-05-11 11:30:00,1.571,5.25,DraftKings,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Eintracht Frankfurt,FC St. Pauli,2.0,2.0,Completed,5dfbe085dd044348987779339b2df78c,2025-05-11 11:30:00,1.571,5.6,Bovada,2025-05-10 23:45:43
Bundesliga - Germany,20250511.0,Eintracht Frankfurt,FC St. Pauli,2.0,2.0,Completed,5dfbe085dd044348987779339b2df78c,2025-05-11 11:30:00,1.549,5.3,BetRivers,2025-05-10 23:45:43
