Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
BetRivers,2,25.0,6,75.0,2
FanDuel,3,33.33,6,66.67,2
BetMGM,3,33.33,6,66.67,2
Bovada,3,33.33,6,66.67,2
DraftKings,3,33.33,6,66.67,2
BetUS,3,37.5,5,62.5,2
BetOnline.ag,3,33.33,6,66.67,2
LowVig.ag,3,33.33,6,66.67,2
MyBookie.ag,1,50.0,1,50.0,2
Caesars,1,50.0,1,50.0,2
Fanatics,1,50.0,1,50.0,2

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.893,4.0,BetRivers,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.833,4.0,FanDuel,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.87,4.1,BetMGM,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.909,4.0,Bovada,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.87,4.2,DraftKings,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.87,4.34,BetUS,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.893,4.1,BetOnline.ag,2025-05-11 23:47:26
Championship,20250512,Sheffield United,Bristol City,3.0,0.0,Completed,03d88e10312d3ea4b4c8ccd8598533de,2025-05-12 15:00:00,1.893,4.1,LowVig.ag,2025-05-11 23:47:26
Denmark Superliga,20250512,Vejle Boldklub,Lyngby,2.0,0.0,Completed,1b18164c4dd72834dcbaca801d5be017,2025-05-12 13:00:00,2.25,3.3,BetRivers,2025-05-11 23:47:26
Denmark Superliga,20250512,Vejle Boldklub,Lyngby,2.0,0.0,Completed,1b18164c4dd72834dcbaca801d5be017,2025-05-12 13:00:00,2.15,3.1,FanDuel,2025-05-11 23:47:26
