Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
FanDuel,4,50.0,4,50.0,1
DraftKings,9,52.94,8,47.06,1
Bovada,11,50.0,11,50.0,1
BetUS,11,52.38,10,47.62,1
BetRivers,10,47.62,11,52.38,1
BetOnline.ag,11,50.0,11,50.0,1
LowVig.ag,11,50.0,11,50.0,1
BetMGM,8,47.06,9,52.94,1
Fanatics,1,50.0,1,50.0,1
MyBookie.ag,1,50.0,1,50.0,1
Caesars,1,50.0,1,50.0,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.2,3.2,FanDuel,2025-05-12 23:45:07
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.25,3.3,DraftKings,2025-05-12 23:45:07
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.15,3.3,Bovada,2025-05-12 23:45:07
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.15,3.3,BetUS,2025-05-12 23:45:07
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.18,3.2,BetRivers,2025-05-12 23:45:07
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.18,3.3,BetOnline.ag,2025-05-12 23:45:07
Championship,20250513,Sunderland,Coventry City,1.0,1.0,Completed,0ba5cd93acf72aacc14ae8dadf0564b8,2025-05-13 15:00:00,2.18,3.3,LowVig.ag,2025-05-12 23:45:07
Copa Libertadores,20250513,Deportivo Táchira,Central Córdoba,1.0,2.0,Completed,af6b809886b998c0526e56b3e78edee2,2025-05-13 18:00:00,3.45,2.2,Bovada,2025-05-12 23:45:07
Copa Libertadores,20250513,Deportivo Táchira,Central Córdoba,1.0,2.0,Completed,af6b809886b998c0526e56b3e78edee2,2025-05-13 18:00:00,3.4,2.17,BetRivers,2025-05-12 23:45:07
Copa Libertadores,20250513,Deportivo Táchira,Central Córdoba,1.0,2.0,Completed,af6b809886b998c0526e56b3e78edee2,2025-05-13 18:00:00,3.34,2.15,LowVig.ag,2025-05-12 23:45:07
Copa Libertadores,20250513,Deportivo Táchira,Central Córdoba,1.0,2.0,Completed,af6b809886b998c0526e56b3e78edee2,2025-05-13 18:00:00,3.34,2.15,BetOnline.ag,2025-05-12 23:45:07
Copa Libertadores,20250513,Deportivo Táchira,Central Córdoba,1.0,2.0,Completed,af6b809886b998c0526e56b3e78edee2,2025-05-13 18:00:00,3.55,2.1,BetUS,2025-05-12 23:45:07
Copa Libertadores,20250513,Fortaleza-EC,Atlético Bucaramanga,0.0,0.0,Completed,c2d406e767845f816aa6aa2eb5bdf076,2025-05-13 20:30:00,1.5,6.75,BetRivers,2025-05-12 23:45:07
Copa Libertadores,20250513,Fortaleza-EC,Atlético Bucaramanga,0.0,0.0,Completed,c2d406e767845f816aa6aa2eb5bdf076,2025-05-13 20:30:00,1.5,7.0,Bovada,2025-05-12 23:45:07
Copa Libertadores,20250513,Fortaleza-EC,Atlético Bucaramanga,0.0,0.0,Completed,c2d406e767845f816aa6aa2eb5bdf076,2025-05-13 20:30:00,1.49,7.0,BetUS,2025-05-12 23:45:07
Copa Libertadores,20250513,Fortaleza-EC,Atlético Bucaramanga,0.0,0.0,Completed,c2d406e767845f816aa6aa2eb5bdf076,2025-05-13 20:30:00,1.49,7.0,LowVig.ag,2025-05-12 23:45:07
Copa Libertadores,20250513,Fortaleza-EC,Atlético Bucaramanga,0.0,0.0,Completed,c2d406e767845f816aa6aa2eb5bdf076,2025-05-13 20:30:00,1.49,7.0,BetOnline.ag,2025-05-12 23:45:07
Copa Libertadores,20250513,Sporting Cristal,Cerro Porteño,0.0,1.0,Completed,88de73ab1d80dc7e05edeca902bce80a,2025-05-13 20:30:00,2.55,2.7,Bovada,2025-05-12 23:45:07
