Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,1,33.33,2,66.67,1
LowVig.ag,0,0.0,1,100.0,0
BetOnline.ag,0,0.0,1,100.0,0
BetMGM,0,0.0,1,100.0,0
DraftKings,1,25.0,3,75.0,1
BetUS,1,25.0,3,75.0,1
FanDuel,0,0.0,1,100.0,0
BetRivers,0,0.0,1,100.0,0
MyBookie.ag,0,0.0,1,100.0,0
Fanatics,0,0.0,1,100.0,0
Caesars,0,0.0,1,100.0,0

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
3. Liga - Germany,,1. FC Saarbrücken,Borussia Dortmund II,,,,,2025-05-17 07:30:00,1.526,5.0,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,1. FC Saarbrücken,Borussia Dortmund II,,,,,2025-05-17 07:30:00,1.5,4.85,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,1. FC Saarbrücken,Borussia Dortmund II,,,,,2025-05-17 07:30:00,1.5,4.85,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,Arminia Bielefeld,Waldhof Mannheim,,,,,2025-05-17 07:30:00,1.645,4.7,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,Arminia Bielefeld,Waldhof Mannheim,,,,,2025-05-17 07:30:00,1.571,4.85,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,Arminia Bielefeld,Waldhof Mannheim,,,,,2025-05-17 07:30:00,1.571,4.85,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,Dynamo Dresden,SpVgg Unterhaching,,,,,2025-05-17 07:30:00,1.267,8.25,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,Dynamo Dresden,SpVgg Unterhaching,,,,,2025-05-17 07:30:00,1.26,8.0,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,Dynamo Dresden,SpVgg Unterhaching,,,,,2025-05-17 07:30:00,1.26,8.0,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,FC Energie Cottbus,FC Ingolstadt 04,,,,,2025-05-17 07:30:00,1.385,6.0,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,FC Energie Cottbus,FC Ingolstadt 04,,,,,2025-05-17 07:30:00,1.36,6.3,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,FC Energie Cottbus,FC Ingolstadt 04,,,,,2025-05-17 07:30:00,1.36,6.3,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,Hannover 96,Hansa Rostock,,,,,2025-05-17 07:30:00,3.85,1.8,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,Hannover 96,Hansa Rostock,,,,,2025-05-17 07:30:00,3.95,1.73,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,Hannover 96,Hansa Rostock,,,,,2025-05-17 07:30:00,3.95,1.73,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,SV Sandhausen,FC Viktoria Köln 1904,,,,,2025-05-17 07:30:00,2.85,2.3,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,SV Sandhausen,FC Viktoria Köln 1904,,,,,2025-05-17 07:30:00,2.77,2.19,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,SV Sandhausen,FC Viktoria Köln 1904,,,,,2025-05-17 07:30:00,2.77,2.19,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,TSV 1860 München,Erzgebirge Aue,,,,,2025-05-17 07:30:00,1.87,3.65,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,TSV 1860 München,Erzgebirge Aue,,,,,2025-05-17 07:30:00,1.82,3.65,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,TSV 1860 München,Erzgebirge Aue,,,,,2025-05-17 07:30:00,1.82,3.65,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,VfB Stuttgart II,Rot-Weiss Essen,,,,,2025-05-17 07:30:00,2.4,2.8,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,VfB Stuttgart II,Rot-Weiss Essen,,,,,2025-05-17 07:30:00,2.26,2.75,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,VfB Stuttgart II,Rot-Weiss Essen,,,,,2025-05-17 07:30:00,2.26,2.75,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,VfL Osnabrück,SC Verl,,,,,2025-05-17 07:30:00,2.2,2.95,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,VfL Osnabrück,SC Verl,,,,,2025-05-17 07:30:00,2.09,2.97,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,VfL Osnabrück,SC Verl,,,,,2025-05-17 07:30:00,2.09,2.97,BetOnline.ag,2025-05-16 23:40:22
3. Liga - Germany,,Wehen Wiesbaden,Alemannia Aachen,,,,,2025-05-17 07:30:00,2.55,2.65,Bovada,2025-05-16 23:40:22
3. Liga - Germany,,Wehen Wiesbaden,Alemannia Aachen,,,,,2025-05-17 07:30:00,2.44,2.49,LowVig.ag,2025-05-16 23:40:22
3. Liga - Germany,,Wehen Wiesbaden,Alemannia Aachen,,,,,2025-05-17 07:30:00,2.44,2.49,BetOnline.ag,2025-05-16 23:40:22
A-League,,Melbourne Victory,Auckland FC,,,,,2025-05-17 05:35:00,2.4,2.85,BetMGM,2025-05-16 23:40:22
A-League,,Melbourne Victory,Auckland FC,,,,,2025-05-17 05:35:00,2.4,2.95,Bovada,2025-05-16 23:40:22
A-League,,Melbourne Victory,Auckland FC,,,,,2025-05-17 05:35:00,2.4,2.95,DraftKings,2025-05-16 23:40:22
A-League,,Melbourne Victory,Auckland FC,,,,,2025-05-17 05:35:00,2.52,2.94,LowVig.ag,2025-05-16 23:40:22
A-League,,Melbourne Victory,Auckland FC,,,,,2025-05-17 05:35:00,2.52,2.94,BetOnline.ag,2025-05-16 23:40:22
A-League,,Melbourne Victory,Auckland FC,,,,,2025-05-17 05:35:00,2.37,2.88,BetUS,2025-05-16 23:40:22
AFL,20250517.0,Greater Western Sydney Giants,Fremantle Dockers,61.0,95.0,Completed,05f610699c61b1c7e353af3136a08d5f,2025-05-17 02:15:00,1.37,3.05,DraftKings,2025-05-16 23:40:22
AFL,20250517.0,Greater Western Sydney Giants,Fremantle Dockers,61.0,95.0,Completed,05f610699c61b1c7e353af3136a08d5f,2025-05-17 02:15:00,1.351,3.1,Bovada,2025-05-16 23:40:22
AFL,20250517.0,Greater Western Sydney Giants,Fremantle Dockers,61.0,95.0,Completed,05f610699c61b1c7e353af3136a08d5f,2025-05-17 02:15:00,1.357,3.2,BetUS,2025-05-16 23:40:22
AFL,20250517.0,Port Adelaide Power,Geelong Cats,39.0,115.0,Completed,0cb298f66db21077a5639eed0b9eab21,2025-05-17 02:15:00,2.25,1.645,DraftKings,2025-05-16 23:40:22
AFL,20250517.0,Port Adelaide Power,Geelong Cats,39.0,115.0,Completed,0cb298f66db21077a5639eed0b9eab21,2025-05-17 02:15:00,2.15,1.69,BetUS,2025-05-16 23:40:22
