Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
Bovada,0,0.0,3,100.0,2
DraftKings,0,0.0,1,100.0,2
BetUS,0,0.0,1,100.0,2
BetRivers,0,0.0,2,100.0,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250606.0,Adelaide Crows,Brisbane Lions,68.0,63.0,Completed,36e2d0d9c4ce7bf45624a691dbcc4a32,2025-06-06 05:40:00,1.571,2.35,Bovada,2025-06-05 23:49:43
AFL,20250606.0,Adelaide Crows,Brisbane Lions,68.0,63.0,Completed,36e2d0d9c4ce7bf45624a691dbcc4a32,2025-06-06 05:40:00,1.541,2.45,DraftKings,2025-06-05 23:49:43
AFL,20250606.0,Adelaide Crows,Brisbane Lions,68.0,63.0,Completed,36e2d0d9c4ce7bf45624a691dbcc4a32,2025-06-06 05:40:00,1.588,2.4,BetUS,2025-06-05 23:49:43
AFL,20250606.0,Richmond Tigers,Sydney Swans,,,Unknown,6f1fad07540f80b7c6a72b40c283a6ce,2025-06-06 23:20:00,2.75,1.435,Bovada,2025-06-05 23:49:43
AFL,20250606.0,Richmond Tigers,Sydney Swans,,,Unknown,6f1fad07540f80b7c6a72b40c283a6ce,2025-06-06 23:20:00,2.55,1.5,DraftKings,2025-06-05 23:49:43
AFL,20250606.0,Richmond Tigers,Sydney Swans,,,Unknown,6f1fad07540f80b7c6a72b40c283a6ce,2025-06-06 23:20:00,2.65,1.5,BetUS,2025-06-05 23:49:43
Boxing,,Bryce Mills,Aaron Aponte,,,,,2025-06-06 18:00:00,1.1,6.5,DraftKings,2025-06-05 23:49:43
Boxing,,Bryce Mills,Aaron Aponte,,,,,2025-06-06 18:00:00,1.08,7.5,BetOnline.ag,2025-06-05 23:49:43
Boxing,,Bryce Mills,Aaron Aponte,,,,,2025-06-06 18:00:00,1.08,8.0,BetUS,2025-06-05 23:49:43
Boxing,,Bryce Mills,Aaron Aponte,,,,,2025-06-06 18:00:00,1.091,7.0,Bovada,2025-06-05 23:49:43
