

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
Boxing,,Liam Paro,Jonathan Navarro,,,,,2025-06-25 05:00:00,1.03,13.0,Bovada,2025-06-24 23:54:07
Boxing,,Liam Paro,Jonathan Navarro,,,,,2025-06-25 05:00:00,1.02,12.43,BetOnline.ag,2025-06-24 23:54:07
Boxing,,Liam Paro,Jonathan Navarro,,,,,2025-06-25 05:00:00,1.02,12.43,LowVig.ag,2025-06-24 23:54:07
Boxing,,Liam Paro,Jonathan Navarro,,,,,2025-06-25 05:00:00,1.05,9.5,BetUS,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.167,5.0,DraftKings,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.167,5.0,BetUS,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.167,4.75,Bovada,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.154,5.1,FanDuel,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.19,4.54,LowVig.ag,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.19,4.54,BetOnline.ag,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.2,5.0,BetMGM,2025-06-24 23:54:07
Boxing,,Liam Wilson,Ayrton Osmar Gimenez,,,,,2025-06-25 06:00:00,1.16,4.9,BetRivers,2025-06-24 23:54:07
Test Matches,20250625.0,Sri Lanka,Bangladesh,,,Unknown,79d626cb9bb1a908ab5b284cf2e2163b,2025-06-25 00:30:00,2.2,8.5,DraftKings,2025-06-24 23:54:07
Test Matches,20250625.0,Sri Lanka,Bangladesh,,,Unknown,79d626cb9bb1a908ab5b284cf2e2163b,2025-06-25 00:30:00,2.28,8.5,BetRivers,2025-06-24 23:54:07
Test Matches,20250625.0,West Indies,Australia,,,Unknown,165e07447f6d077a51d385f0a94debbd,2025-06-25 10:00:00,5.5,1.357,DraftKings,2025-06-24 23:54:07
Test Matches,20250625.0,West Indies,Australia,,,Unknown,165e07447f6d077a51d385f0a94debbd,2025-06-25 10:00:00,5.5,1.317,BetRivers,2025-06-24 23:54:07
