Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,3,50.0,3,50.0,2
Bovada,3,37.5,5,62.5,2
BetUS,3,37.5,5,62.5,2
LowVig.ag,3,60.0,2,40.0,1
BetOnline.ag,3,60.0,2,40.0,2
BetRivers,3,42.86,4,57.14,1
BetMGM,3,60.0,2,40.0,1

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250627.0,Gold Coast Suns,Melbourne Demons,,,Unknown,c48f16a99cea16b6693ccfdd2d6c803d,2025-06-27 23:20:00,1.351,3.15,DraftKings,2025-06-26 23:52:29
AFL,20250627.0,Gold Coast Suns,Melbourne Demons,,,Unknown,c48f16a99cea16b6693ccfdd2d6c803d,2025-06-27 23:20:00,1.323,3.25,Bovada,2025-06-26 23:52:29
AFL,20250627.0,Gold Coast Suns,Melbourne Demons,,,Unknown,c48f16a99cea16b6693ccfdd2d6c803d,2025-06-27 23:20:00,1.357,3.2,BetUS,2025-06-26 23:52:29
AFL,20250627.0,Sydney Swans,Western Bulldogs,96.0,105.0,Completed,9aee0dbabb50940da259d9c5f0c026e1,2025-06-27 05:40:00,2.35,1.588,DraftKings,2025-06-26 23:52:29
AFL,20250627.0,Sydney Swans,Western Bulldogs,96.0,105.0,Completed,9aee0dbabb50940da259d9c5f0c026e1,2025-06-27 05:40:00,2.4,1.541,Bovada,2025-06-26 23:52:29
AFL,20250627.0,Sydney Swans,Western Bulldogs,96.0,105.0,Completed,9aee0dbabb50940da259d9c5f0c026e1,2025-06-27 05:40:00,2.35,1.606,BetUS,2025-06-26 23:52:29
Boxing,,Arslanbek Makhmudov,Ricardo Brown,,,,,2025-06-27 19:00:00,1.294,3.55,DraftKings,2025-06-26 23:52:29
Boxing,,Arslanbek Makhmudov,Ricardo Brown,,,,,2025-06-27 19:00:00,1.3,3.43,BetUS,2025-06-26 23:52:29
Boxing,,Arslanbek Makhmudov,Ricardo Brown,,,,,2025-06-27 19:00:00,1.26,3.65,Bovada,2025-06-26 23:52:29
Boxing,,Arslanbek Makhmudov,Ricardo Brown,,,,,2025-06-27 19:00:00,1.25,4.0,LowVig.ag,2025-06-26 23:52:29
Boxing,,Arslanbek Makhmudov,Ricardo Brown,,,,,2025-06-27 19:00:00,1.25,4.0,BetOnline.ag,2025-06-26 23:52:29
Boxing,,Arslanbek Makhmudov,Ricardo Brown,,,,,2025-06-27 19:00:00,1.286,3.45,FanDuel,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.033,13.0,DraftKings,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.025,12.0,BetUS,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.033,14.6,FanDuel,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.02,15.0,Bovada,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.007,19.0,LowVig.ag,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.007,19.0,BetOnline.ag,2025-06-26 23:52:29
Boxing,,Christian Mbilli,Maciej Sulecki,,,,,2025-06-27 20:00:00,1.03,11.0,BetRivers,2025-06-26 23:52:29
Boxing,,Christopher Gurrero,Sandy Messaoud,,,,,2025-06-27 20:00:00,1.04,12.0,DraftKings,2025-06-26 23:52:29
Boxing,,Christopher Gurrero,Sandy Messaoud,,,,,2025-06-27 20:00:00,1.04,10.0,BetUS,2025-06-26 23:52:29
Boxing,,Christopher Gurrero,Sandy Messaoud,,,,,2025-06-27 20:00:00,1.04,11.0,Bovada,2025-06-26 23:52:29
Boxing,,Christopher Gurrero,Sandy Messaoud,,,,,2025-06-27 20:00:00,1.05,10.0,BetOnline.ag,2025-06-26 23:52:29
Boxing,,Christopher Gurrero,Sandy Messaoud,,,,,2025-06-27 20:00:00,1.05,10.0,LowVig.ag,2025-06-26 23:52:29
Boxing,,Christopher Gurrero,Sandy Messaoud,,,,,2025-06-27 20:00:00,1.033,9.9,FanDuel,2025-06-26 23:52:29
Boxing,20250627.0,Deontay Wilder,Tyrrell Anthony Herndon,,,Unknown,2a8ca4e2478fd7fc3455faadc34382af,2025-06-27 20:00:00,1.04,11.0,DraftKings,2025-06-26 23:52:29
Boxing,20250627.0,Deontay Wilder,Tyrrell Anthony Herndon,,,Unknown,2a8ca4e2478fd7fc3455faadc34382af,2025-06-27 20:00:00,1.08,8.0,BetUS,2025-06-26 23:52:29
