Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,2,33.33,4,66.67,1
Bovada,2,28.57,5,71.43,1
BetUS,2,28.57,5,71.43,1
FanDuel,2,50.0,2,50.0,0
BetRivers,3,60.0,2,40.0,2
BetMGM,1,25.0,3,75.0,0

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250704.0,Carlton Blues,Collingwood Magpies,59.0,115.0,Completed,7eb0aba335ec467e5455dd418c6e3391,2025-07-04 05:20:00,4.3,1.211,DraftKings,2025-07-03 23:52:50
AFL,20250704.0,Carlton Blues,Collingwood Magpies,59.0,115.0,Completed,7eb0aba335ec467e5455dd418c6e3391,2025-07-04 05:20:00,4.75,1.167,Bovada,2025-07-03 23:52:50
AFL,20250704.0,Carlton Blues,Collingwood Magpies,59.0,115.0,Completed,7eb0aba335ec467e5455dd418c6e3391,2025-07-04 05:20:00,4.5,1.2,BetUS,2025-07-03 23:52:50
AFL,20250704.0,Essendon Bombers,Gold Coast Suns,,,Unknown,16e5b33fd8a3990567523575f88efa7e,2025-07-04 22:35:00,3.4,1.312,DraftKings,2025-07-03 23:52:50
AFL,20250704.0,Essendon Bombers,Gold Coast Suns,,,Unknown,16e5b33fd8a3990567523575f88efa7e,2025-07-04 22:35:00,3.8,1.244,Bovada,2025-07-03 23:52:50
AFL,20250704.0,Essendon Bombers,Gold Coast Suns,,,Unknown,16e5b33fd8a3990567523575f88efa7e,2025-07-04 22:35:00,3.4,1.303,BetUS,2025-07-03 23:52:50
AFL,20250704.0,West Coast Eagles,Greater Western Sydney Giants,52.0,111.0,Completed,4da72458ba583d88575bd579f868effc,2025-07-04 06:20:00,3.35,1.323,DraftKings,2025-07-03 23:52:50
AFL,20250704.0,West Coast Eagles,Greater Western Sydney Giants,52.0,111.0,Completed,4da72458ba583d88575bd579f868effc,2025-07-04 06:20:00,3.8,1.244,Bovada,2025-07-03 23:52:50
AFL,20250704.0,West Coast Eagles,Greater Western Sydney Giants,52.0,111.0,Completed,4da72458ba583d88575bd579f868effc,2025-07-04 06:20:00,3.4,1.303,BetUS,2025-07-03 23:52:50
League of Ireland,20250704.0,Derry City,Waterford FC,7.0,2.0,Completed,a5650dfff7b1c27764c1fb0b6c75121b,2025-07-04 14:45:00,1.5,6.0,FanDuel,2025-07-03 23:52:50
League of Ireland,20250704.0,Derry City,Waterford FC,7.0,2.0,Completed,a5650dfff7b1c27764c1fb0b6c75121b,2025-07-04 14:45:00,1.556,6.0,DraftKings,2025-07-03 23:52:50
League of Ireland,20250704.0,Derry City,Waterford FC,7.0,2.0,Completed,a5650dfff7b1c27764c1fb0b6c75121b,2025-07-04 14:45:00,1.538,5.6,Bovada,2025-07-03 23:52:50
League of Ireland,20250704.0,Derry City,Waterford FC,7.0,2.0,Completed,a5650dfff7b1c27764c1fb0b6c75121b,2025-07-04 14:45:00,1.5,6.1,BetRivers,2025-07-03 23:52:50
League of Ireland,20250704.0,Derry City,Waterford FC,7.0,2.0,Completed,a5650dfff7b1c27764c1fb0b6c75121b,2025-07-04 14:45:00,1.541,5.25,BetMGM,2025-07-03 23:52:50
League of Ireland,20250704.0,Derry City,Waterford FC,7.0,2.0,Completed,a5650dfff7b1c27764c1fb0b6c75121b,2025-07-04 14:45:00,1.538,5.6,BetUS,2025-07-03 23:52:50
League of Ireland,20250704.0,Drogheda United,Galway United,1.0,0.0,Completed,3ddd67c9aae93d15c2ad67155a666b64,2025-07-04 14:45:00,2.6,2.6,FanDuel,2025-07-03 23:52:50
League of Ireland,20250704.0,Drogheda United,Galway United,1.0,0.0,Completed,3ddd67c9aae93d15c2ad67155a666b64,2025-07-04 14:45:00,2.65,2.65,DraftKings,2025-07-03 23:52:50
League of Ireland,20250704.0,Drogheda United,Galway United,1.0,0.0,Completed,3ddd67c9aae93d15c2ad67155a666b64,2025-07-04 14:45:00,2.6,2.63,Bovada,2025-07-03 23:52:50
League of Ireland,20250704.0,Drogheda United,Galway United,1.0,0.0,Completed,3ddd67c9aae93d15c2ad67155a666b64,2025-07-04 14:45:00,2.63,2.63,BetRivers,2025-07-03 23:52:50
League of Ireland,20250704.0,Drogheda United,Galway United,1.0,0.0,Completed,3ddd67c9aae93d15c2ad67155a666b64,2025-07-04 14:45:00,2.5,2.6,BetMGM,2025-07-03 23:52:50
League of Ireland,20250704.0,Drogheda United,Galway United,1.0,0.0,Completed,3ddd67c9aae93d15c2ad67155a666b64,2025-07-04 14:45:00,2.6,2.63,BetUS,2025-07-03 23:52:50
League of Ireland,20250704.0,Shelbourne Dublin,Cork City,3.0,1.0,Completed,24862d30c18c081ce27879f4888d17c7,2025-07-04 14:45:00,1.513,6.0,FanDuel,2025-07-03 23:52:50
