Bookmaker,Underdog Wins,Underdog Win %,Favorite Wins,Favorite Win %,Unknown Games
DraftKings,11,47.83,12,52.17,3
BetUS,9,40.91,13,59.09,3
Bovada,11,50.0,11,50.0,0
BetMGM,10,55.56,8,44.44,0
FanDuel,10,47.62,11,52.38,1
BetRivers,12,57.14,9,42.86,1
LowVig.ag,10,47.62,11,52.38,1
BetOnline.ag,10,47.62,11,52.38,1
MyBookie.ag,0,0.0,1,100.0,0
Fanatics,0,0.0,1,100.0,0

Sport,Match Date,Home Team,Away Team,Home Score,Away Score,Status,Game ID,Match Date_time,Home Team Odds,Away Team Odds,Bookmaker,Compiled_At
AFL,20250815.0,Carlton Blues,Port Adelaide Power,,,Unknown,29315184585576ffc48e1c3e249a3a8b,2025-08-15 23:20:00,1.5,2.55,DraftKings,2025-08-14 23:55:26
AFL,20250815.0,Carlton Blues,Port Adelaide Power,,,Unknown,29315184585576ffc48e1c3e249a3a8b,2025-08-15 23:20:00,1.5,2.65,BetUS,2025-08-14 23:55:26
AFL,20250815.0,Essendon Bombers,St Kilda Saints,75.0,77.0,Completed,c02f684380bd8640120d1a74d7653abb,2025-08-15 05:20:00,4.6,1.182,DraftKings,2025-08-14 23:55:26
AFL,20250815.0,Essendon Bombers,St Kilda Saints,75.0,77.0,Completed,c02f684380bd8640120d1a74d7653abb,2025-08-15 05:20:00,4.5,1.2,BetUS,2025-08-14 23:55:26
AFL,20250815.0,Fremantle Dockers,Brisbane Lions,44.0,101.0,Completed,668de5862fcab07d1f59969ed223842a,2025-08-15 06:35:00,1.741,2.1,DraftKings,2025-08-14 23:55:26
AFL,20250815.0,Fremantle Dockers,Brisbane Lions,44.0,101.0,Completed,668de5862fcab07d1f59969ed223842a,2025-08-15 06:35:00,1.741,2.05,Bovada,2025-08-14 23:55:26
AFL,20250815.0,Fremantle Dockers,Brisbane Lions,44.0,101.0,Completed,668de5862fcab07d1f59969ed223842a,2025-08-15 06:35:00,1.769,2.0,BetUS,2025-08-14 23:55:26
AFL,20250815.0,Gold Coast Suns,Greater Western Sydney Giants,,,Unknown,6fcd8bb6ca392f8526356b94a083d139,2025-08-15 22:35:00,1.455,2.7,DraftKings,2025-08-14 23:55:26
AFL,20250815.0,Gold Coast Suns,Greater Western Sydney Giants,,,Unknown,6fcd8bb6ca392f8526356b94a083d139,2025-08-15 22:35:00,1.435,2.9,BetUS,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,4.2,1.769,BetMGM,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,4.4,1.69,FanDuel,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,4.5,1.714,DraftKings,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,4.3,1.735,Bovada,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,4.7,1.719,BetRivers,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,4.3,1.735,BetUS,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,3.9,1.752,LowVig.ag,2025-08-14 23:55:26
Belgium First Div,20250815.0,Leuven,Genk,1.0,2.0,Completed,774488bb0e54714bc849df4833dddc60,2025-08-15 14:45:00,3.9,1.752,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Dominic Valle,Iron Alvarez,,,,,2025-08-15 18:00:00,1.062,9.5,DraftKings,2025-08-14 23:55:26
Boxing,,Dominic Valle,Iron Alvarez,,,,,2025-08-15 18:00:00,1.03,13.0,LowVig.ag,2025-08-14 23:55:26
Boxing,,Dominic Valle,Iron Alvarez,,,,,2025-08-15 18:00:00,1.04,10.0,BetUS,2025-08-14 23:55:26
Boxing,,Dominic Valle,Iron Alvarez,,,,,2025-08-15 18:00:00,1.03,13.0,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Dominic Valle,Iron Alvarez,,,,,2025-08-15 18:00:00,1.02,15.0,Bovada,2025-08-14 23:55:26
Boxing,,Dominic Valle,Iron Alvarez,,,,,2025-08-15 18:00:00,1.062,7.8,FanDuel,2025-08-14 23:55:26
Boxing,,Gary Antonio Russell,Dervin Rodriguez,,,,,2025-08-15 18:00:00,1.05,10.5,DraftKings,2025-08-14 23:55:26
Boxing,,Gary Antonio Russell,Dervin Rodriguez,,,,,2025-08-15 18:00:00,1.05,9.5,BetUS,2025-08-14 23:55:26
Boxing,,Gary Antonio Russell,Dervin Rodriguez,,,,,2025-08-15 18:00:00,1.03,13.0,Bovada,2025-08-14 23:55:26
Boxing,,Gary Antonio Russell,Dervin Rodriguez,,,,,2025-08-15 18:00:00,1.056,8.2,FanDuel,2025-08-14 23:55:26
Boxing,,Marques Valle,Luis George,,,,,2025-08-15 18:00:00,1.167,5.0,DraftKings,2025-08-14 23:55:26
Boxing,,Marques Valle,Luis George,,,,,2025-08-15 18:00:00,1.222,4.25,LowVig.ag,2025-08-14 23:55:26
Boxing,,Marques Valle,Luis George,,,,,2025-08-15 18:00:00,1.16,5.25,BetUS,2025-08-14 23:55:26
Boxing,,Marques Valle,Luis George,,,,,2025-08-15 18:00:00,1.222,4.25,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Marques Valle,Luis George,,,,,2025-08-15 18:00:00,1.167,4.75,Bovada,2025-08-14 23:55:26
Boxing,,Marques Valle,Luis George,,,,,2025-08-15 18:00:00,1.222,3.9,FanDuel,2025-08-14 23:55:26
Boxing,,Mizuki Hiruta,Naomy Cardenas Gomez,,,,,2025-08-15 19:00:00,1.1,7.0,DraftKings,2025-08-14 23:55:26
Boxing,,Mizuki Hiruta,Naomy Cardenas Gomez,,,,,2025-08-15 19:00:00,1.1,7.0,LowVig.ag,2025-08-14 23:55:26
Boxing,,Mizuki Hiruta,Naomy Cardenas Gomez,,,,,2025-08-15 19:00:00,1.1,7.0,BetUS,2025-08-14 23:55:26
Boxing,,Mizuki Hiruta,Naomy Cardenas Gomez,,,,,2025-08-15 19:00:00,1.1,7.0,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Mizuki Hiruta,Naomy Cardenas Gomez,,,,,2025-08-15 19:00:00,1.091,7.0,Bovada,2025-08-14 23:55:26
Boxing,,Mizuki Hiruta,Naomy Cardenas Gomez,,,,,2025-08-15 19:00:00,1.077,6.8,FanDuel,2025-08-14 23:55:26
Boxing,,Muhammadkhuja Yaqubov,William Foster III,,,,,2025-08-15 21:00:00,1.69,2.15,DraftKings,2025-08-14 23:55:26
Boxing,,Muhammadkhuja Yaqubov,William Foster III,,,,,2025-08-15 21:00:00,1.645,2.2,Bovada,2025-08-14 23:55:26
Boxing,,Muhammadkhuja Yaqubov,William Foster III,,,,,2025-08-15 21:00:00,1.641,2.18,FanDuel,2025-08-14 23:55:26
Boxing,,Muhammadkhuja Yaqubov,William Foster III,,,,,2025-08-15 21:00:00,1.667,2.17,LowVig.ag,2025-08-14 23:55:26
Boxing,,Muhammadkhuja Yaqubov,William Foster III,,,,,2025-08-15 21:00:00,1.667,2.17,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Starling Castillo,Shinard Bunch,,,,,2025-08-15 20:00:00,1.556,2.4,DraftKings,2025-08-14 23:55:26
Boxing,,Starling Castillo,Shinard Bunch,,,,,2025-08-15 20:00:00,1.645,2.21,LowVig.ag,2025-08-14 23:55:26
Boxing,,Starling Castillo,Shinard Bunch,,,,,2025-08-15 20:00:00,1.645,2.21,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Starling Castillo,Shinard Bunch,,,,,2025-08-15 20:00:00,1.541,2.4,Bovada,2025-08-14 23:55:26
Boxing,,Starling Castillo,Shinard Bunch,,,,,2025-08-15 20:00:00,1.51,2.44,FanDuel,2025-08-14 23:55:26
Boxing,,Weljon Mindoro,Dormedes Potes,,,,,2025-08-15 18:00:00,1.05,10.5,DraftKings,2025-08-14 23:55:26
Boxing,,Weljon Mindoro,Dormedes Potes,,,,,2025-08-15 18:00:00,1.01,19.0,LowVig.ag,2025-08-14 23:55:26
Boxing,,Weljon Mindoro,Dormedes Potes,,,,,2025-08-15 18:00:00,1.05,9.5,BetUS,2025-08-14 23:55:26
Boxing,,Weljon Mindoro,Dormedes Potes,,,,,2025-08-15 18:00:00,1.01,19.0,BetOnline.ag,2025-08-14 23:55:26
Boxing,,Weljon Mindoro,Dormedes Potes,,,,,2025-08-15 18:00:00,1.04,11.0,Bovada,2025-08-14 23:55:26
Boxing,,Weljon Mindoro,Dormedes Potes,,,,,2025-08-15 18:00:00,1.042,9.1,FanDuel,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.55,2.7,BetRivers,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.5,2.7,FanDuel,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.45,2.55,Bovada,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.5,2.7,DraftKings,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.5,2.7,BetUS,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.5,2.71,BetOnline.ag,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Fredericia,SonderjyskE,3.0,2.0,Completed,48d6f59738c03bed5f54e1494fabd1b9,2025-08-15 14:00:00,2.5,2.71,LowVig.ag,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.4,2.02,BetRivers,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.2,2.05,FanDuel,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.25,2.0,BetMGM,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.25,2.05,DraftKings,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.15,2.0,Bovada,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.15,2.0,BetUS,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.3,2.08,BetOnline.ag,2025-08-14 23:55:26
Denmark Superliga,20250815.0,FC Nordsjaelland,FC Copenhagen,1.0,3.0,Completed,820dde81508dc825e68d3414036d227a,2025-08-15 12:00:00,3.3,2.08,LowVig.ag,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.7,2.55,FanDuel,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.7,2.5,BetMGM,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.65,2.55,DraftKings,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.66,2.56,Bovada,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.8,2.55,BetRivers,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.76,2.48,BetUS,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.6,2.48,LowVig.ag,2025-08-14 23:55:26
Dutch Eredivisie,20250815.0,SC Telstar,FC Zwolle,0.0,2.0,Completed,004512b5d9c0d9a8ea1f670fc555e0f3,2025-08-15 14:00:00,2.6,2.48,BetOnline.ag,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.299,9.0,BetRivers,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.312,8.5,DraftKings,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.308,8.5,BetMGM,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.296,9.4,BetOnline.ag,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.296,9.4,LowVig.ag,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.286,8.75,Bovada,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.27,9.0,FanDuel,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.294,7.9,MyBookie.ag,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.286,8.0,Fanatics,2025-08-14 23:55:26
EPL,20250815.0,Liverpool,Bournemouth,4.0,2.0,Completed,f37021de21572159764157dbf2e5ae62,2025-08-15 15:00:00,1.286,8.75,BetUS,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.25,3.3,FanDuel,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.25,3.15,DraftKings,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.3,3.25,BetRivers,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.25,3.3,Bovada,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.25,3.25,BetMGM,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.29,3.37,BetOnline.ag,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.29,3.37,LowVig.ag,2025-08-14 23:55:26
La Liga - Spain,20250815.0,Girona,Rayo Vallecano,1.0,3.0,Completed,c4198d00081ef7586ec5088c547a23dd,2025-08-15 13:00:00,2.25,3.3,BetUS,2025-08-14 23:55:26
